protein,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
Q9Y738,-0.0551895,0.0118637,0.289049,-0.24843,-0.299632,-0.229461,-0.353145,-0.00589063,-0.27856,0.257172,-0.0119278,0.364732,-0.00173548,0.352518,0.0895648,0.141483,-0.0580397,0.316826,0.0504806,0.0666857,-0.24909,0.32052,0.176785,-0.109531
Q9UTP3,-0.0422267,-0.0191661,0.170213,-0.137364,-0.182753,-0.134592,-0.213684,0.0128793,-0.180134,0.176449,-0.0027578,0.223022,-0.00511974,0.228724,0.0732663,0.0876593,-0.0436499,0.17016,0.0203605,0.0441381,-0.159356,0.184569,0.133578,-0.0518707
P87227,-0.0521589,0.012366,0.311935,-0.250547,-0.268871,-0.243534,-0.347968,-0.00111085,-0.280351,0.246344,0.00394642,0.371406,0.0271408,0.366181,0.101613,0.130597,-0.0243816,0.294424,0.0468872,0.0618556,-0.219359,0.329818,0.196889,-0.120992
O94260,-0.0580025,0.00795456,0.192706,-0.16472,-0.220443,-0.166492,-0.23438,0.00338847,-0.179683,0.18375,0.00644978,0.267599,0.0144321,0.262518,0.0553968,0.113643,-0.0516395,0.190865,0.0284685,0.0290426,-0.173192,0.216518,0.145988,-0.0672769
Q09757,-0.0119781,0.0118332,0.132492,-0.13055,-0.141868,-0.114949,-0.144863,-0.00438415,-0.139679,0.135293,-0.013015,0.169833,0.0184428,0.168258,0.0518168,0.0617961,-0.0392306,0.11501,0.0341539,0.0145763,-0.110794,0.121807,0.0956564,-0.0529767
O14327,-0.152078,-0.0393667,0.590937,-0.515016,-0.550553,-0.461326,-0.709574,-0.0302687,-0.535427,0.519838,-0.0230471,0.74669,0.0236532,0.707383,0.190281,0.298183,-0.0701918,0.599346,0.114394,0.114714,-0.434105,0.61011,0.352203,-0.238037
O13972,-0.0293321,0.00755221,0.11644,-0.0901093,-0.130321,-0.101786,-0.136886,-0.0117928,-0.131489,0.10635,-0.00381244,0.151262,0.00107211,0.173889,0.0555151,0.0620841,-0.0300733,0.116698,0.0237742,0.0260022,-0.0979288,0.147096,0.101294,-0.060885
O75011,-0.186859,-0.000446251,0.686994,-0.550747,-0.619372,-0.546354,-0.75968,-0.017087,-0.596587,0.573505,-0.0530497,0.797929,0.0432026,0.773029,0.213528,0.290973,-0.0856661,0.649279,0.0951428,0.126778,-0.524259,0.694989,0.432872,-0.253458
P0CT61,-0.0306675,-0.013908,0.131238,-0.0897905,-0.109639,-0.0750168,-0.120373,2.02537e-05,-0.10908,0.114266,0.00671871,0.140081,-0.00281755,0.120272,0.0522349,0.0700412,-0.0142039,0.124432,0.0330069,0.00811105,-0.0708861,0.103752,0.0621433,-0.057302
P36587,-0.0201101,0.0158839,0.115813,-0.102548,-0.113055,-0.0791239,-0.111893,-0.0219695,-0.103668,0.10323,0.0131122,0.136491,0.0134445,0.136436,0.0437506,0.0718202,-0.00317337,0.127053,0.0176027,0.0305955,-0.0646806,0.102536,0.0735574,-0.0331878
P47943,-0.04285,-0.00545352,0.142716,-0.109834,-0.128753,-0.114844,-0.166172,-0.00900317,-0.109513,0.118388,-0.0110973,0.141622,-0.0141664,0.160035,0.0486895,0.0775413,-0.0401599,0.124867,0.0341218,0.0453053,-0.0892181,0.123102,0.0656403,-0.0496243
P56289,-0.0102552,-0.0153564,0.119679,-0.0943006,-0.108221,-0.088832,-0.136058,-0.0081867,-0.0802947,0.105952,-0.0249084,0.11639,-0.00589526,0.141668,0.0276638,0.0629798,-0.0178953,0.127071,0.0215242,0.0198032,-0.0746317,0.115444,0.0603241,-0.0565828
Q9UTN3,-0.206875,-0.0226406,0.824624,-0.673899,-0.755672,-0.635991,-0.973837,-0.0468554,-0.72955,0.688544,-0.0572532,0.979882,0.0298577,0.92819,0.277959,0.371198,-0.143568,0.81235,0.152842,0.176419,-0.629606,0.884185,0.501575,-0.323773
P0CT65,-0.0346889,-0.0153773,0.0910073,-0.106492,-0.114147,-0.0983139,-0.135433,0.00724629,-0.0853611,0.091193,0.0029864,0.130382,-0.00177244,0.132706,0.0483918,0.036702,-0.0337689,0.0843465,0.0228521,0.0161255,-0.0917181,0.0982015,0.0790315,-0.0203959
Q9USW5,-0.0437997,0.00147543,0.0971567,-0.0750481,-0.114774,-0.0665678,-0.11377,0.00438666,-0.0736519,0.0731335,-0.0138856,0.117948,0.0137198,0.122399,0.0412229,0.0401369,0.00267893,0.116753,0.0276431,0.0244095,-0.076681,0.123661,0.0538986,-0.021625
O94294,-0.182528,-0.0251454,0.712696,-0.57761,-0.68077,-0.563139,-0.818113,-0.0475656,-0.618604,0.614549,-0.0360943,0.847053,0.0263642,0.79619,0.237382,0.343009,-0.106113,0.664362,0.139246,0.171391,-0.550911,0.74823,0.438026,-0.274659
P42656,-0.100692,0.00939682,0.3928,-0.309187,-0.339445,-0.29235,-0.451528,-0.0185672,-0.339996,0.336849,-0.0465086,0.443326,0.025666,0.410855,0.139152,0.15824,-0.0368243,0.340784,0.0471381,0.0724014,-0.274163,0.408655,0.228609,-0.150747
P26306,-0.0877226,-0.0127439,0.29905,-0.231137,-0.253007,-0.211865,-0.335224,-0.0182862,-0.240259,0.231516,-0.0262465,0.352693,0.00333372,0.342243,0.110214,0.146126,-0.0467405,0.264406,0.0585043,0.0553754,-0.205429,0.314547,0.194418,-0.118761
P32372,-0.0834774,0.0018978,0.305608,-0.241113,-0.280399,-0.232882,-0.371201,-0.00439053,-0.280149,0.275843,0.00351737,0.397001,0.0226428,0.348578,0.0937918,0.136701,-0.0586007,0.288518,0.0392262,0.0539209,-0.246043,0.343992,0.187006,-0.0953498
Q10272,-0.0857816,0.00321602,0.306467,-0.238495,-0.251996,-0.219174,-0.351382,0.00846566,-0.248264,0.252086,-0.0273747,0.350547,0.00529698,0.33505,0.116419,0.113301,-0.0613983,0.298951,0.0297768,0.0608916,-0.221796,0.314167,0.157785,-0.110105
P53694,-0.0762943,-0.00088248,0.229926,-0.188518,-0.220126,-0.193675,-0.272427,0.0140155,-0.192373,0.176803,-0.0229045,0.297153,0.0263475,0.241819,0.0800385,0.0983308,-0.018788,0.224335,0.0208617,0.0572757,-0.158671,0.25399,0.120322,-0.0818934
Q9Y7Z5,-0.0705448,0.0156057,0.216442,-0.202891,-0.219161,-0.204589,-0.255208,-0.026546,-0.200244,0.185382,-0.00689861,0.26802,0.0158998,0.284241,0.0902814,0.120501,-0.0225076,0.222704,0.0293167,0.0471984,-0.194311,0.256584,0.12032,-0.104529
O94722,-0.0815645,0.0173543,0.251643,-0.226794,-0.235645,-0.220687,-0.298512,0.00844394,-0.242611,0.231609,-0.0168521,0.312998,0.0329891,0.2804,0.0618511,0.101806,-0.0283179,0.245936,0.0357414,0.0556487,-0.185346,0.264084,0.165987,-0.0977009
O60182,-0.0555338,-0.00970023,0.164381,-0.122857,-0.155593,-0.124174,-0.191616,-0.00995954,-0.143177,0.145679,-0.00651682,0.194511,0.0121047,0.174415,0.0630479,0.086789,-0.0395906,0.133239,0.0411296,0.0507757,-0.103416,0.165827,0.115424,-0.0527617
O75004,-0.0620754,-0.0119536,0.216552,-0.177483,-0.217093,-0.183955,-0.252134,0.00808601,-0.177749,0.176782,-0.00448373,0.264938,0.0230115,0.241631,0.0683362,0.0969086,-0.0342005,0.224931,0.0448224,0.0618573,-0.193351,0.238338,0.11834,-0.0733879
Q09711,-0.0469559,-0.0054958,0.238088,-0.216459,-0.233671,-0.170016,-0.301515,0.00269678,-0.194344,0.220736,-0.0308411,0.269548,0.014564,0.275173,0.0646235,0.105208,-0.0225203,0.22173,0.0401689,0.0541665,-0.203236,0.255532,0.154692,-0.0871013
Q10063,-0.0705229,-0.0164944,0.227177,-0.199271,-0.22793,-0.214516,-0.297735,-0.0155802,-0.234148,0.198271,-0.013913,0.296508,0.0247905,0.29447,0.0671843,0.100589,-0.0209013,0.245024,0.0342169,0.0512252,-0.176458,0.247291,0.155694,-0.0747024
Q09778,-0.0570527,0.0111465,0.221604,-0.172214,-0.213606,-0.184299,-0.258986,-0.0275817,-0.206404,0.201994,0.00118148,0.254981,0.00436692,0.2441,0.0690761,0.121746,-0.0183078,0.2125,0.0426201,0.0619614,-0.151632,0.214802,0.119814,-0.0728693
O59793,-0.09241,-0.0283882,0.383417,-0.289673,-0.357838,-0.295932,-0.446175,-0.0178506,-0.312871,0.344154,-0.00136533,0.467493,-0.00113556,0.43862,0.111881,0.168466,-0.0444291,0.367213,0.0721557,0.102123,-0.295963,0.399938,0.216641,-0.144987
Q9Y7M4,-0.0349196,-0.0164047,0.204327,-0.170478,-0.176172,-0.135441,-0.214418,0.00678624,-0.18673,0.172874,-0.0107734,0.216229,0.0222768,0.212361,0.0556513,0.10443,-0.0325833,0.184193,0.0431022,0.0584231,-0.13919,0.191707,0.116005,-0.057155
Q1MTQ1,-0.0552692,0.00183316,0.157086,-0.145498,-0.183409,-0.120707,-0.208547,-0.00588852,-0.144886,0.171261,0.00349752,0.206133,0.00700326,0.18448,0.0552409,0.0881214,-0.0141886,0.164062,0.0427662,0.0447765,-0.132857,0.18854,0.108679,-0.076811
P79065,-0.0390481,-0.016428,0.187326,-0.15708,-0.17544,-0.154337,-0.220822,-0.00886281,-0.172553,0.184981,-0.0252475,0.270116,0.0123886,0.241994,0.0770084,0.100031,-0.0244476,0.209629,0.0455208,0.0453628,-0.152326,0.199974,0.135499,-0.0850223
P40235,-0.0502893,-0.00540241,0.137233,-0.121016,-0.134661,-0.0990441,-0.150835,0.00608271,-0.123664,0.121628,-0.0291687,0.141848,0.0116588,0.128702,0.0528889,0.0426181,-0.00269683,0.141335,0.0317596,0.0487722,-0.0873359,0.129319,0.0996305,-0.0594309
Q9P6M8,-0.262186,-0.0647526,1.11426,-0.9633,-1.06457,-0.928471,-1.35893,-0.00933365,-1.00941,0.988417,-0.104127,1.42126,0.0679374,1.31187,0.375186,0.497525,-0.153467,1.08152,0.222913,0.265239,-0.85402,1.23772,0.721677,-0.392891
P17608,-0.054014,0.0143027,0.230581,-0.161673,-0.214431,-0.174664,-0.255663,-0.0253288,-0.201167,0.17058,0.00720534,0.274081,0.0138155,0.237242,0.0552436,0.0774202,-0.0483244,0.193445,0.0353965,0.0275765,-0.180525,0.214178,0.146864,-0.0627727
O94318,-0.04085,-0.0122346,0.218056,-0.17276,-0.212921,-0.167241,-0.271037,0.00338843,-0.195031,0.182475,-0.00704521,0.283469,0.0144385,0.248874,0.0785876,0.123433,-0.0521674,0.202681,0.0331784,0.0504919,-0.18596,0.224033,0.132518,-0.0681518
O94663,-0.0534888,0.00436597,0.231993,-0.208621,-0.232359,-0.16199,-0.247595,-0.00363492,-0.187805,0.209522,-0.0172483,0.263507,0.0142635,0.244963,0.0914959,0.100625,-0.0550068,0.215579,0.0265835,0.0526044,-0.188145,0.253312,0.147176,-0.104255
Q01663,-0.0631951,-0.022162,0.198931,-0.159567,-0.173082,-0.138398,-0.220418,0.00988921,-0.151683,0.156216,-0.00220784,0.211118,-0.0104253,0.236156,0.0696192,0.0906618,-0.0333935,0.200372,0.0490991,0.0630192,-0.144738,0.193214,0.124528,-0.0579707
O14283,-0.03821,-0.0122279,0.137568,-0.0924986,-0.125382,-0.0998046,-0.163282,-0.00475572,-0.110141,0.0851696,-0.013054,0.171705,0.0044815,0.138245,0.0240739,0.0646082,-0.0368906,0.124118,0.0378029,0.0393113,-0.110179,0.13173,0.0926418,-0.0411153
O74954,-0.259742,0.0183637,0.96241,-0.80996,-0.947809,-0.74394,-1.11445,-0.0170251,-0.863218,0.80572,-0.0958777,1.2007,0.0592737,1.13586,0.310121,0.454505,-0.164453,0.953075,0.144075,0.243991,-0.776672,0.974162,0.609507,-0.371776
Q09683,-0.0815933,-0.0114494,0.242598,-0.2046,-0.24464,-0.195864,-0.306607,-0.000172431,-0.246177,0.22999,-0.0237223,0.304835,-0.00118001,0.301155,0.0996416,0.102404,-0.0513709,0.273277,0.0401242,0.0553627,-0.190402,0.284632,0.161631,-0.11082
Q9C1X2,-0.0179447,0.00241943,0.0966705,-0.0730051,-0.103249,-0.0682094,-0.101799,0.00446766,-0.0549448,0.0888908,-0.0111673,0.0978421,0.0189677,0.0951152,0.0321046,0.0467495,0.00169383,0.0605435,-0.000738746,0.0350598,-0.0557427,0.0972772,0.0588779,-0.0285009
Q1K9C2,-0.0397889,-0.0194074,0.0850563,-0.096394,-0.11568,-0.0810349,-0.110355,-0.00331585,-0.104762,0.0772894,-0.017669,0.131553,0.00955851,0.108403,0.0227633,0.068077,-0.00853295,0.0968137,-0.000994214,0.0375344,-0.0817996,0.105111,0.0761278,-0.0339115
Q9P7J8,-0.0578943,-0.0107767,0.318434,-0.27893,-0.292296,-0.253327,-0.375681,-0.00499809,-0.29655,0.285766,-0.0301453,0.413,0.00292561,0.355171,0.116869,0.127238,-0.0359679,0.30909,0.0480948,0.0639336,-0.228962,0.342366,0.190734,-0.105116
P79016,-0.0462277,0.0015216,0.110517,-0.0893396,-0.129622,-0.114722,-0.159893,-0.000713599,-0.130004,0.109686,0.00368844,0.144106,0.0169142,0.133095,0.0609788,0.0438016,-0.0226261,0.138276,0.0190762,0.0282491,-0.0937494,0.146,0.0855831,-0.0611855
Q9Y7R7,-0.045099,0.0057271,0.105374,-0.087822,-0.115391,-0.0981324,-0.120257,-0.023823,-0.0892418,0.100186,0.00776818,0.138187,-0.0104391,0.126375,0.0184432,0.0451437,-0.00695224,0.104091,0.00127024,0.0378348,-0.0582259,0.0887512,0.0637411,-0.0374059
Q09330,-0.140072,-0.0119693,0.511515,-0.462966,-0.52735,-0.430184,-0.636176,-0.0116986,-0.487296,0.485964,-0.0219127,0.68111,0.0455014,0.599649,0.192325,0.258733,-0.104021,0.543879,0.104419,0.0971653,-0.423473,0.559579,0.330946,-0.205359
P40383,-0.0487956,0.00664667,0.168671,-0.1394,-0.141256,-0.150418,-0.195739,-0.0258811,-0.144343,0.134534,-0.0300418,0.201297,0.00969219,0.192697,0.0473912,0.0727096,-0.0308255,0.168543,0.0379952,0.0179703,-0.133807,0.16718,0.0807627,-0.0400545
O74402,-0.0307944,-0.0106945,0.10126,-0.0946112,-0.114035,-0.0834302,-0.142269,-0.0223179,-0.0824422,0.0845663,0.00684317,0.11507,0.0033653,0.105829,0.0150128,0.0433159,-0.0186672,0.0922052,0.0254631,0.010112,-0.0733545,0.0907013,0.0842818,-0.0457551
Q09826,-0.0737263,-0.00861152,0.393485,-0.318561,-0.381086,-0.294322,-0.437708,-0.0343375,-0.315345,0.315015,-0.01948,0.476405,0.011596,0.421049,0.143822,0.1575,-0.0539775,0.384616,0.0628879,0.102956,-0.309257,0.406363,0.218471,-0.141252
P0CT53,-0.0615503,-0.0141939,0.171918,-0.175686,-0.191592,-0.155452,-0.231388,-0.0158664,-0.186766,0.171995,-0.00123122,0.228634,0.00340013,0.236719,0.058874,0.102023,-0.0216922,0.198444,0.0253768,0.0244676,-0.147356,0.182652,0.125981,-0.0625663
Q10303,-0.0637176,-0.0182017,0.186927,-0.167353,-0.19521,-0.150515,-0.234743,0.0102058,-0.176862,0.176549,0.00776252,0.24042,0.0149559,0.236891,0.0493905,0.0906953,-0.0205095,0.197915,0.0288174,0.0256647,-0.128994,0.205871,0.125639,-0.0686938
Q10235,-0.0680303,0.0090006,0.216303,-0.186368,-0.191461,-0.144744,-0.245442,0.0112613,-0.167977,0.191924,-0.0221516,0.269921,0.00411778,0.222683,0.0830669,0.0869613,-0.0125997,0.202169,0.0389271,0.0626847,-0.145657,0.197586,0.10587,-0.0565804
Q10181,-0.0526548,-0.0217702,0.114729,-0.118432,-0.113561,-0.0815435,-0.149865,0.0133459,-0.0838544,0.07709,0.0120064,0.12931,-0.00131026,0.131723,0.0419897,0.0687498,-0.0246598,0.0996695,0.0240222,0.0186127,-0.0679013,0.112252,0.0685827,-0.0476599
Q7LKX0,-0.0341862,0.0126683,0.0865679,-0.0938633,-0.0877356,-0.0917845,-0.135401,-0.0132343,-0.0753529,0.0683293,0.00563529,0.143381,0.0165236,0.136367,0.031277,0.0544892,-0.0218598,0.101301,0.0113166,0.0430665,-0.0859836,0.100913,0.0684466,-0.0175139
O14114,-0.00216246,-0.00941009,0.0583158,-0.0477315,-0.0672045,-0.0624456,-0.0637805,-0.00396514,-0.051689,0.0537533,0.0162895,0.0705149,0.0127097,0.0613489,0.0290492,0.0285504,0.00971932,0.0555932,0.0176261,-0.00356206,-0.0343055,0.0704096,0.0227025,-0.0144128
Q9UT23,-0.0295479,0.00740714,0.116406,-0.0549245,-0.0821739,-0.0943451,-0.129775,0.0108283,-0.0795445,0.0991869,-0.0151951,0.140322,0.0142496,0.102814,0.0250646,0.0537313,-0.0195546,0.08381,0.022873,0.0185154,-0.0663611,0.0823642,0.0606629,-0.0240283
O59800,-0.0530213,-0.0137995,0.147612,-0.125496,-0.132914,-0.118799,-0.194494,-0.0139505,-0.148021,0.141217,-0.0139712,0.19807,0.0123757,0.180943,0.0604506,0.0868553,-0.0414041,0.153762,0.0150357,0.0302908,-0.106426,0.179307,0.118938,-0.0741848
Q9P7H6,-0.107041,-0.0270646,0.37845,-0.307434,-0.342346,-0.275506,-0.444977,0.000969847,-0.311926,0.294895,-0.0309569,0.427593,0.00282879,0.423453,0.118409,0.152333,-0.065008,0.347342,0.0781665,0.0931614,-0.267827,0.363606,0.204967,-0.151528
Q10163,-0.0577521,-0.0190232,0.190584,-0.161204,-0.189779,-0.155316,-0.231475,-0.00627523,-0.147657,0.1566,-0.0201955,0.247986,0.0169285,0.236711,0.0767861,0.0964425,-0.0169211,0.187798,0.0154177,0.0280948,-0.151387,0.222816,0.120441,-0.0774796
O42915,-0.0467671,0.00559689,0.221841,-0.165648,-0.23317,-0.171439,-0.253145,-0.0263996,-0.194653,0.1763,0.00826444,0.25783,0.0244557,0.273529,0.0657922,0.1251,-0.0142018,0.213919,0.0246342,0.0355555,-0.18728,0.239009,0.144873,-0.0741664
Q9P780,-0.0758703,0.0041929,0.255912,-0.190616,-0.230525,-0.199729,-0.269281,-0.00732283,-0.190406,0.209572,0.00574103,0.275732,0.0218677,0.276101,0.0777245,0.10631,-0.0498708,0.212171,0.0442314,0.0575214,-0.184671,0.23839,0.153896,-0.0761104
O42649,-0.05573,-0.0099014,0.181213,-0.15345,-0.143607,-0.147956,-0.19136,-0.00309615,-0.143065,0.146927,-0.0202999,0.201974,-0.00287676,0.1938,0.0682967,0.0876946,-0.0432839,0.147919,0.0236359,0.0435273,-0.137296,0.167861,0.0970534,-0.0518414
Q09823,-0.108852,-0.017535,0.391226,-0.321995,-0.362735,-0.305291,-0.440043,-0.0054991,-0.341038,0.326308,-0.0186752,0.472453,0.0396979,0.452565,0.12664,0.178726,-0.0624488,0.376223,0.084046,0.065449,-0.28303,0.409554,0.245171,-0.12372
Q9C115,-0.0554972,0.00229042,0.17535,-0.163273,-0.197816,-0.138381,-0.234842,-0.0163101,-0.183065,0.185558,-0.00272544,0.22138,0.00515448,0.21889,0.0606049,0.104777,-0.0449108,0.189793,0.0141139,0.0237836,-0.142316,0.192501,0.124287,-0.0567189
O13831,-0.0145878,0.00701109,0.0965984,-0.0967487,-0.116306,-0.0617224,-0.103344,0.00947039,-0.0729216,0.10959,0.00726438,0.106307,0.0104697,0.12374,0.050376,0.0665477,-0.0296621,0.100257,0.0271617,0.00550697,-0.0680252,0.13009,0.0631337,-0.0537207
O94560,-0.16631,-0.0413609,0.781118,-0.606975,-0.735508,-0.610723,-0.925447,-0.0395985,-0.664441,0.693003,-0.0338074,0.963757,0.022967,0.898728,0.261977,0.332399,-0.0947723,0.725117,0.118828,0.165253,-0.613332,0.8079,0.457355,-0.301446
O14134,-0.02052,0.0173947,0.131063,-0.0893352,-0.113727,-0.103905,-0.164077,-0.0127854,-0.127425,0.105424,-0.0275815,0.136781,0.0143952,0.14258,0.0369521,0.0457696,-0.0396574,0.124859,0.00760811,0.0373075,-0.084281,0.126473,0.0957157,-0.0496583
Q9UTD1,-0.0196673,-0.0167128,0.158575,-0.150128,-0.147767,-0.117135,-0.17324,0.00661128,-0.140966,0.117677,-0.000322193,0.200017,-0.00120949,0.195233,0.0702315,0.0688827,-0.00912768,0.155011,0.0186148,0.0506382,-0.138301,0.158949,0.110324,-0.0728645
O13794,-0.0928072,0.00787214,0.357179,-0.272137,-0.321392,-0.268223,-0.412665,-0.0019756,-0.307849,0.293429,-0.0320531,0.434038,-0.00680114,0.396896,0.127791,0.167969,-0.0683849,0.34295,0.0717382,0.0710259,-0.270064,0.356849,0.214735,-0.115738
Q10222,-0.0314644,-0.00762461,0.179222,-0.132221,-0.166995,-0.113195,-0.181324,-0.00100079,-0.119261,0.133184,-0.0229337,0.209926,-0.00625017,0.171831,0.0645882,0.0731062,-0.0165502,0.15429,0.046868,0.0343461,-0.120813,0.156972,0.09368,-0.0638042
P36615,-0.0512282,0.013299,0.177543,-0.156469,-0.185348,-0.161806,-0.194606,-0.0195697,-0.148661,0.14341,-0.00329286,0.242531,0.0057746,0.193941,0.0635943,0.0692374,-0.0327678,0.187209,0.0210147,0.052244,-0.141368,0.209316,0.107247,-0.0526004
Q96WV9,-0.0563768,-0.0154535,0.265249,-0.220679,-0.24233,-0.21609,-0.307128,-0.00955907,-0.239973,0.2234,0.00707126,0.311732,0.0158864,0.297471,0.0803283,0.138515,-0.021387,0.239361,0.0250692,0.0771926,-0.215912,0.295644,0.164766,-0.115754
O36033,-0.00881078,-0.0192158,0.109522,-0.0715318,-0.0901288,-0.072529,-0.104706,-0.00334877,-0.0873488,0.095381,-0.0231955,0.125254,0.0192889,0.113865,0.0505051,0.0243295,-0.0132299,0.073837,4.80553e-05,0.0170564,-0.0832251,0.115336,0.0555191,-0.0363926
P87216,-0.0293164,-0.00345916,0.128182,-0.105554,-0.141337,-0.107418,-0.165784,-0.0132889,-0.120807,0.0959491,-0.00148038,0.164285,0.0209109,0.129425,0.0412292,0.0382031,-0.0315744,0.110031,0.0283843,0.0156177,-0.0779459,0.12631,0.0735254,-0.0269612
P87309,-0.0486497,-0.000979627,0.203271,-0.183427,-0.188892,-0.17727,-0.239572,-0.0230089,-0.187246,0.180681,0.00429039,0.252894,0.0125718,0.231805,0.0701743,0.0903451,-0.031448,0.207852,0.0531592,0.0620971,-0.166006,0.236479,0.122489,-0.0873755
Q09150,-0.0503361,0.0125359,0.21745,-0.178802,-0.185203,-0.143257,-0.229481,-0.00849644,-0.180396,0.177421,-0.000321609,0.258452,0.0082033,0.248437,0.0893583,0.0821,-0.0471226,0.186865,0.0303128,0.0593521,-0.175015,0.232084,0.121382,-0.0576319
Q09927,-0.0464827,-0.00767603,0.199229,-0.157709,-0.177884,-0.171903,-0.22998,0.0130963,-0.180653,0.177966,-0.0239139,0.240077,0.0280431,0.246491,0.0709596,0.0913112,-0.041927,0.222737,0.04372,0.0560942,-0.173373,0.236256,0.121151,-0.0916754
Q9USK4,-0.0213188,-0.00883059,0.0920424,-0.090863,-0.0987379,-0.0605194,-0.114521,0.017363,-0.0839647,0.0712254,0.00649725,0.139009,0.0189855,0.131502,0.021918,0.0368054,-0.0253839,0.107879,0.00559241,0.0344436,-0.0847614,0.125886,0.0548536,-0.0512212
P39964,-0.0941283,-0.0176153,0.414627,-0.349539,-0.390686,-0.356179,-0.506284,-0.000222091,-0.374214,0.38144,-0.0117168,0.507477,0.0114375,0.48895,0.15037,0.183484,-0.0752346,0.407167,0.0893807,0.0812458,-0.342312,0.430274,0.265271,-0.16384
Q9Y7Y2,-0.040331,-0.0216376,0.119549,-0.111847,-0.099459,-0.0990016,-0.128871,-0.0140554,-0.0961648,0.0964481,0.0136241,0.132876,0.0102892,0.139005,0.0452272,0.0640562,-0.0309845,0.133687,0.0216145,0.0178254,-0.0739737,0.124351,0.0916152,-0.0405616
P0CT76,-0.0414614,-0.0034046,0.107574,-0.0914799,-0.100669,-0.117412,-0.160752,0.016333,-0.0909831,0.113632,-0.0226521,0.150122,-0.00491933,0.134281,0.0394153,0.074024,-0.0282546,0.129284,0.0226043,0.0355302,-0.105194,0.110331,0.081937,-0.0514516
