protein,dim1,dim2
Q9Y709,-1.82412,-0.861829
P87051,-0.572081,-0.274289
P87126,-2.03886,-1.08555
O74966,-0.58666,-0.401964
O94614,-0.318276,-0.406301
Q09822,-1.07924,-0.221661
O14188,-1.35889,-0.550691
P12000,-0.37398,-0.130003
Q9URU2,-0.961429,-0.331478
P87324,-0.592051,-0.0966202
Q9USR4,-0.457108,-0.416022
Q09823,-1.39113,-0.672693
Q9HGN4,-0.74598,-0.100042
Q09933,-0.556025,-0.121051
Q10198,-0.704282,-0.445773
O59703,-0.832538,-0.126357
O14230,-0.590904,-0.427878
O43091,-0.585382,-0.229149
O13851,-0.73978,-0.152412
O13795,-0.233913,-0.443514
P15258,-0.498412,0.0572645
O74739,-0.763156,-0.192797
Q06182,-0.879978,-0.476567
O60165,-0.80062,-0.324373
P48010,-0.99955,-0.172681
Q09116,-0.765741,-0.258727
O94459,-0.583105,-0.294807
Q09725,-0.451565,-0.469323
P78920,-0.775231,-0.610585
P0CT69,-0.506155,-0.119784
O14277,-0.310048,-0.180332
Q09757,-0.375265,-0.350214
O74881,-0.43372,-0.478018
O13960,-0.575008,-0.18381
Q10489,-0.31189,-0.0401369
P36621,-0.569329,-0.182312
O14075,-0.526925,-0.173805
Q09736,-0.450683,-0.0259662
O59733,-0.49057,9.2558e-05
Q9USM3,-0.7926,-0.230742
O14250,-0.351163,-0.408231
P41878,-1.28235,-0.904103
P41836,-0.499642,-0.296465
Q9UTK0,-0.220374,-0.00984522
O74958,-0.487933,-0.163337
O59711,-0.386576,-0.280023
Q10425,-0.479286,-0.510946
O14370,-0.305713,-0.263957
P28748,-0.854652,-0.390948
O14232,-0.573895,-0.435943
Q09779,-0.59586,-0.0177488
P28040,-0.820453,-0.479802
Q9C107,-0.442001,-0.459153
Q10478,-0.575361,-0.141361
P87227,-1.07407,-0.583856
O42706,-0.26159,-0.22033
O74999,-0.164184,-0.290584
P05764,-0.73895,-0.459646
O74887,-0.592833,-0.221465
P0CT59,-0.408874,-0.0798181
O74836,-0.272632,-0.153576
Q09702,-0.352803,-0.136879
Q10281,-0.587482,-0.374052
P08092,-0.791974,-0.149519
Q7LKX0,-0.420952,0.00539946
Q9P6M8,-3.63724,-1.54148
Q12706,-0.705876,-0.145783
Q9P7E8,-0.215395,-0.348911
P87112,-0.475946,-0.101148
Q7LKV1,-0.672393,-0.465678
Q09695,-0.816174,-0.0968114
O42930,-0.828184,-0.625437
Q10243,-0.65151,-0.132654
O94655,-1.03039,-0.593206
O74398,-0.637354,-0.105277
Q09914,-0.915546,-0.46519
P40995,-1.09011,-0.280668
O42954,-0.371279,-0.194393
P19117,-0.422298,-0.374963
O94756,-0.528698,-0.279393
Q92349,-0.944463,-0.242409
O74409,-0.224274,-0.130401
O74772,-0.49615,-0.335768
O94494,-0.849737,-0.263968
O94716,-0.671741,-0.454767
Q9Y738,-0.875033,-0.707905
O74774,-0.751525,-0.0503838
Q9USL5,-0.695595,-0.431775
P23880,-0.37251,-0.216623
P13681,-0.619947,-0.605519
Q09690,-0.81723,-0.281188
O94600,-0.569034,-0.463704
Q9HFE8,-1.11576,-0.86023
O94397,-0.563867,-0.339649
Q10295,-0.597058,-0.224528
O14327,-1.8673,-1.01225
P0CT63,-0.391746,-0.343843
P05219,-0.47106,-0.19175
O94534,-0.486472,-0.273132
P79065,-0.760734,-0.415143
O74955,-0.454397,-0.486327
Q9P7V3,-0.857379,-0.165255
Q9P7A1,-0.293372,-0.373828
Q9Y7Y6,-0.295183,-0.349922
O14087,-0.298825,-0.216033
P36592,-1.20554,-0.451123
O59793,-1.23974,-0.686155
P49731,-0.728735,-0.334835
P40382,-0.423275,-0.225429
O14176,-0.604966,0.021084
O13829,-1.2821,-0.457452
O42901,-0.544541,-0.143656
O13712,-1.4368,-0.542542
Q9URT4,-0.85604,-0.540002
O13286,-0.64145,-0.378582
P41005,-0.889594,-0.49019
Q10360,-0.928405,-0.282185
O14013,-0.651368,-0.213976
Q12126,-0.777822,-0.498709
P36594,-0.934384,-0.746138
P40383,-0.552941,-0.185413
Q09330,-1.63199,-0.724704
Q06975,-0.4927,-0.31001
Q9HGL8,-0.421978,-0.0259662
P79016,-0.432511,-0.228823
Q9P7J8,-1.15396,-0.592944
O13696,-0.405847,-0.101228
P17609,-0.695202,-0.0519085
Q9UST4,-0.399485,-0.0912723
O60108,-0.523983,-0.369309
Q9P7R4,-0.321347,-0.174182
Q9P769,-0.266226,-0.390388
O75011,-2.29019,-1.20205
O59794,-0.448548,-0.35346
O13919,-0.578894,-0.538036
O59702,-0.724646,-0.297531
O74843,-0.493836,-0.430509
P87245,-0.616776,-0.392633
Q9P6K3,-0.277171,-0.37485
Q10411,-0.416634,-0.286153
O14098,-0.749035,-0.247783
O59748,-0.675283,-0.178048
P40380,-0.718102,-0.311546
P10815,-1.09837,-0.744966
Q02099,-0.825245,-0.438518
Q9Y7M6,-0.408697,-0.329437
O14140,-0.810819,-0.575268
O74330,-0.477245,-0.316997
O42904,-0.728129,-0.189853
Q92366,-0.632419,-0.16463
O94316,-0.580083,-0.396052
O74517,-0.888423,-0.127145
Q9UTN4,-0.504851,-0.270953
Q9UT39,-1.14132,-0.439455
Q9UTD1,-0.442511,-0.192728
O14036,-0.459582,-0.215815
P39964,-1.53355,-0.938687
O14097,-0.869883,-0.638873
P50526,-0.56155,-0.591946
P10989,-0.848823,-0.506357
P78929,-0.40515,-0.0746538
O13658,-0.259537,-0.105708
Q02061,-0.849631,-0.176501
P36615,-0.579526,-0.036178
O94684,-0.55586,-0.479021
Q10292,-0.751859,-0.490244
P87231,-0.747319,-0.292038
O36021,-0.323679,-0.232197
O13802,-0.500441,-0.417351
P87058,-0.332821,-0.30539
P08090,-0.559969,-0.173507
P87315,-0.605006,-0.0628255
O43083,-0.628485,-0.18913
O94704,-0.25387,-0.183906
Q1K9C2,-0.283345,-0.350628
P41891,-0.347484,-0.314178
P79083,-0.66431,-0.193899
O42861,-0.436705,0.00105599
P32434,-0.692066,-0.157125
O60052,-0.982734,-0.37897
Q9P7V5,-0.161395,-0.228359
Q9Y7K2,-1.17301,-0.453857
Q1MTN9,-0.610733,-0.294559
Q9Y825,-0.615875,-0.539991
Q9P7L8,-0.622094,-0.228506
Q9USZ2,-0.369755,-0.173617
P55877,-0.520536,-0.148093
O14368,-1.14411,-0.333728
Q9UUG8,-0.654793,-0.291591
O14076,-0.52858,-0.093787
Q10205,-1.44925,-0.583783
Q10202,-0.219204,-0.214187
Q9HGQ3,-0.837224,-0.168392
O14329,-0.835568,-0.26202
Q9USG6,-0.236902,-0.288222
P0CT76,-0.355185,-0.181682
O13684,-0.666085,-0.491551
P42657,-0.757881,-0.48854
Q09715,-0.536598,-0.313617
Q10344,-0.366328,-0.251941
Q9USI5,-0.531754,-0.0932816
O14044,-0.235242,-0.0974204
O74434,-0.224676,-0.237829
P40384,-0.758284,-0.533508
P40385,-0.690903,-0.0929961
P48383,-0.359146,-0.00910512
Q12704,-0.147592,-0.395126
Q09869,-0.617418,-0.34922
Q9URV9,-0.433967,0.0688496
Q10304,-0.198063,-0.322083
P05767,-0.484048,-0.0504536
P87074,-0.627727,-0.437375
Q09825,-1.60031,-0.966695
Q10109,-0.486332,-0.0437297
Q10140,-0.392537,-0.082509
O74173,-0.313168,-0.273939
O74910,-0.671789,-0.0500636
P40381,-1.14598,-0.793625
O13734,-0.661183,-0.365367
P05933,-0.828817,-0.436802
O94360,-0.491471,-0.421563
Q12702,-0.763621,-0.269956
O94395,-0.571581,-0.261845
O74405,-0.589292,-0.311828
P0CT84,-0.818514,-0.389417
Q10437,-0.608922,-0.473007
Q9P7V9,-0.814821,-0.352319
Q10099,-0.770772,-0.214797
Q09900,-0.458292,-0.0169631
Q9P3W5,-0.827272,-0.232421
Q9P7S2,-0.514451,-0.347181
Q9USJ8,-0.413282,-0.349518
O74503,-0.773234,-0.257928
O14100,-0.402096,-0.0653351
Q9P7G0,-0.456294,-0.113369
P36582,-0.578451,-0.255985
P36583,-0.568638,-0.526772
O59675,-0.410982,-0.0936172
P0CT53,-0.807308,-0.282533
O13998,-0.399528,-0.283651
P78921,-0.445278,-0.156039
P40997,-0.575696,-0.211434
O13936,-0.821611,-0.615235
O94537,-0.150544,-0.303758
Q9UTE0,-0.366702,-0.354435
O14293,-0.367513,-0.214927
Q9P7Y4,-0.51774,-0.182716
Q9HE02,-0.907375,-0.666536
P78774,-0.480098,-0.0272406
Q9UUJ1,-0.691501,-0.34119
O14201,-0.534534,0.0299263
O94584,-0.353611,-0.212104
Q02088,-0.685521,-0.18647
O14459,-1.05363,-0.317173
Q9USP6,-0.251581,-0.220276
P40375,-0.405629,0.0736736
Q10289,-0.420576,-0.0196414
O14317,-0.360126,-0.127165
P28758,-0.485038,-0.0887339
Q9UT46,-1.04259,-0.496802
P78958,-0.871267,-0.228784
Q9P3U2,-0.709059,-0.300046
P04551,-1.05776,-0.623628
O42846,-0.322964,-0.185541
P78814,-0.382892,-0.417486
Q9P7N3,-0.596862,-0.15936
Q11120,-0.927434,-0.178376
O94701,-1.18842,-0.762528
P56289,-0.383583,-0.131217
Q9UT97,-0.610237,-0.298653
Q9UUF7,-0.249471,-0.390465
Q9P7W8,-0.524333,-0.322601
Q9P7H4,-0.267229,-0.248
P23635,-0.525174,-0.316935
Q09926,-0.496493,-0.161845
P52890,-0.838322,-0.236339
O59809,-0.209154,-0.232733
P21696,-0.226893,-0.339051
O94449,-0.669338,-0.312774
O43086,-0.709099,-0.567513
O14003,-0.750442,-0.198787
O43060,-0.536956,-0.30045
Q09722,-0.888737,-0.304673
O42978,-0.893539,-0.31263
Q9UUI1,-0.547989,-0.0980158
O13940,-0.30465,0.00798824
O94269,-0.472032,-0.0728808
O94260,-0.781855,-0.310556
O74175,-0.599371,-0.35652
Q9HDX1,-0.204909,-0.139951
Q9P6P7,-0.279905,-0.0122816
Q10429,-0.668171,-0.0755332
O94361,-0.581963,-0.000441965
Q9P6M1,-0.618287,-0.238258
Q9Y7X6,-0.589458,-0.443681
O42917,-0.658825,-0.232231
Q9HFF5,-0.671583,-0.590018
P30776,-0.838236,-0.367163
O59706,-0.585398,0.032752
P41390,-0.525817,-0.2774
Q10343,-0.861738,-0.520739
P78789,-0.616722,-0.462121
Q9C100,-0.528403,-0.454621
O13898,-0.518898,-0.493982
O94489,-0.514645,-0.304158
O74309,-1.521,-0.658777
Q10105,-0.502375,0.033484
O74445,-0.682411,-0.241554
O13831,-0.373297,-0.13546
P23636,-0.435788,-0.266915
O60129,-0.499441,-0.117787
Q09196,-0.602782,-0.339311
O13651,-0.495655,0.0657394
Q9P7R0,-0.470087,-0.0323705
O74883,-0.48541,-0.0761875
O74857,-0.486718,-0.259878
O94421,-0.764027,-0.257691
Q9P7Y0,-0.618347,-0.433615
O13282,-0.689035,-0.461372
O94436,-0.922456,-0.324843
O94424,-0.431556,-0.284575
O74496,-0.312842,0.0447584
P22774,-0.395303,-0.208424
O94642,-0.694109,-0.430281
Q9P7N4,-0.635704,-0.164812
Q9P7J4,-0.143083,-0.0374672
O94697,-0.594373,-0.178178
Q09747,-0.304548,-0.353759
O74892,-0.483406,-0.380848
Q9P7Q8,-0.712547,-0.3528
O94332,-0.54033,-0.394985
Q9UST5,-0.65421,-0.129147
P0CT72,-0.425195,-0.276023
Q9P7C2,-0.453173,0.0462252
Q10242,-0.444088,-0.339838
O94407,-0.250986,-0.12259
Q9Y7U5,-0.681726,-0.250516
P23566,-0.533785,-0.218472
Q1MTQ0,-0.891949,-0.365482
P87176,-0.703142,-0.086307
Q9HDV4,-0.627258,-0.210956
O74861,-0.706641,-0.301437
O60176,-0.620459,-0.265734
Q10135,-0.811825,-0.263135
Q09908,-0.59781,-0.239144
O94629,-0.619161,-0.390421
P40376,-0.662561,-0.16242
O13688,-0.735671,-0.464066
Q6BDR8,-0.541828,-0.109701
Q4PIR3,-0.681749,-0.38031
Q9P7H8,-0.347614,-0.364012
Q9UUB6,-1.48258,-0.473288
O42897,-0.578566,-0.294287
Q10361,-0.746097,-0.353687
Q9UTH0,-0.551118,-0.345685
Q10331,-0.894079,-0.625003
O74871,-0.570656,-0.138242
O59790,-1.25276,-0.607413
O14079,-0.245497,-0.275911
P50527,-0.720529,-0.368029
P40996,-0.784002,-0.0973636
O74653,-0.526901,-0.395161
P53694,-0.78699,-0.336807
Q9Y7Z5,-0.695255,-0.374024
O74381,-0.474925,-0.0659342
Q9HFR0,-0.648612,-0.368943
Q9P380,-0.337494,-0.0530963
P00046,-0.269574,-0.320896
Q9HE05,-0.610893,-0.308573
Q09738,-0.553745,-0.476454
P87152,-0.973694,-0.213014
O60171,-0.313562,-0.219796
Q10103,-0.951841,-0.428291
O94659,-0.267125,-0.313639
P78810,-0.261324,-0.207753
O94567,-0.441747,-0.234694
O60060,-0.402189,-0.339076
O74856,-0.595688,-0.291545
P36603,-0.730434,-0.461897
O13842,-0.588467,-0.382156
O60053,-0.33692,-0.355305
O13637,-0.746261,-0.526003
O94319,-0.794528,-0.213129
O13839,-0.583201,-0.400648
O59755,-0.657179,-0.248562
Q09150,-0.631993,-0.350465
P87309,-0.64622,-0.183254
Q10318,-0.228535,-0.220786
P04688,-0.63272,-0.486228
O14290,-0.363398,-0.122097
Q09171,-0.308138,-0.19167
O74391,-0.38652,-0.0290014
P40232,-0.387259,-0.170271
O43065,-0.130522,-0.404338
O74446,-0.50919,-0.307596
O94531,-0.469887,-0.134899
O59678,-0.644665,-0.36974
P78859,-0.408437,-0.256761
Q8WZK2,-0.467627,-0.0302705
O74352,-0.412556,-0.394719
O14217,-0.761227,-0.258762
Q9UUD6,-0.599934,-0.194423
Q9URT9,-0.297116,0.0728133
P40235,-0.509984,-0.153841
O13685,-0.687799,-0.359176
O74983,-0.769674,-0.221041
O13787,-0.512733,-0.31337
O14164,-0.307208,-0.409636
O14122,-0.702281,-0.465447
O74560,-0.665554,-0.608235
O94552,-0.279708,-0.284088
O14027,-0.681393,-0.656685
O43085,-1.44888,-0.430046
O42914,-0.45159,-0.046729
O42709,-1.00868,-0.413048
Q9P7S4,-0.316126,0.0170071
P09627,-0.414924,-0.321489
O14126,-0.692859,-0.283209
P20772,-0.503614,-0.153584
O94488,-0.747265,-0.558263
O14157,-0.813912,-0.276946
O74756,-0.737274,-0.354735
O13791,-0.279129,-0.23481
P0CT55,-0.501406,-0.412755
Q10193,-0.327823,-0.338889
Q10172,-0.299001,-0.269221
O14302,-0.929602,-0.782459
Q10280,-0.327129,0.0856679
Q10179,-0.462156,-0.114434
P22068,-0.382382,-0.282128
C6Y4C2,-0.421878,-0.2567
O13852,-0.609139,-0.0591191
Q96TL7,-0.941636,-0.613042
P79005,-0.804809,-0.0986664
O42851,-0.706659,-0.442626
O94325,-0.705452,-0.396668
Q9USX4,-0.166489,-0.190518
P79071,-0.471086,-0.0774547
Q9Y7M4,-0.534806,-0.49724
P07334,-0.84722,-0.497339
P87050,-0.469465,-0.341045
Q7LL22,-0.583867,-0.0469438
O14072,-0.527615,-0.0474535
P49777,-0.602721,-0.456065
Q9USY4,-0.528178,-0.155744
Q9USH1,-0.472752,-0.0977511
O60104,-1.24984,-0.918816
O13958,-0.625334,-0.366805
O14160,-0.346448,-0.166338
Q9C0X6,-0.560537,-0.256404
P21135,-1.02569,-0.416783
P18296,-0.549192,-0.181353
O74627,-0.833825,-0.315813
Q9HDY1,-0.541054,-0.576855
O42938,-0.261031,-0.190901
O60101,-0.394859,-0.444332
Q1MTS0,-0.356182,-0.193718
P78795,-0.442373,-0.331537
O94268,-0.277816,-0.092584
O14388,-0.472449,-0.203858
O59865,-0.194892,-0.134936
Q9C0Z7,-0.601169,0.0448524
Q9P4W7,-0.437902,-0.217124
O74358,-0.904673,-0.443951
O60128,-0.518382,-0.199478
Q10192,-0.631863,-0.199076
O43052,-0.456381,-0.485675
Q9Y704,-0.461307,-0.298278
Q9HGP8,-0.350317,0.0363365
O94413,-0.178559,-0.247948
O13877,-0.398812,-0.482821
Q9USP7,-0.59359,-0.0987474
P62505,-0.739882,-0.384169
P87297,-0.896061,-0.358506
Q9C103,-0.52294,-0.266061
O74374,-0.403415,-0.23653
Q9UUI2,-0.617748,-0.129301
O74563,-0.721138,-0.45779
P36614,-0.442061,-0.250441
O59825,-0.263231,-0.000612694
O13782,-0.679476,-0.0832238
O42947,-0.141886,-0.1556
P40372,-0.3778,-0.376366
Q92376,-0.630635,-0.163768
Q9USQ2,-0.70623,-0.405176
O14417,-0.918218,-0.31216
Q96WV5,-0.595214,-0.0580343
O59780,-0.252118,-0.0998657
O14318,-0.797756,-0.31053
P14068,-0.706748,-0.183819
Q9URY2,-0.654834,-0.272683
Q9UTD3,-0.541224,-0.139497
Q9P6P8,-0.768711,-0.156068
O13298,-0.719879,-0.488547
O74845,-0.848044,-0.111755
Q10238,-0.355628,-0.123092
Q10447,-0.487575,-0.276375
Q92365,-0.259435,-0.262721
P35679,-0.541531,-0.0946048
Q09948,-0.542782,-0.0898894
Q9UTN6,-0.614897,-0.586904
Q92356,-0.308293,-0.312199
O42918,-0.321961,-0.211888
Q9UTT2,-0.679401,-0.146285
O59800,-0.608753,-0.208782
O60137,-0.558037,-0.509716
O74508,-0.909926,-0.205965
Q10321,-0.815281,-0.470863
C6Y4C9,-0.6522,-0.316095
P41411,-0.807364,-0.518071
P48003,-0.568705,-0.437026
Q9UT79,-0.880757,-0.37965
O94620,-0.507569,-0.271143
Q09685,-0.900668,-0.44492
Q9USZ6,-0.196917,-0.368274
O42943,-0.28699,-0.151262
Q9USX3,-0.69246,-0.219342
O94290,-0.298852,-0.210481
Q9UTM0,-0.284756,-0.138646
P09988,-0.876749,-0.240047
Q9UTC6,-0.775387,-0.42887
O14470,-0.476552,-0.312855
O94522,-0.661859,-0.396496
Q9P7S3,-0.657533,-0.221395
O14161,-0.329126,-0.345625
Q9UT23,-0.366691,0.0922968
O94698,-0.502803,-0.00774118
Q9UUC1,-0.266875,-0.426354
Q9P795,-1.35398,-0.595441
P04913,-1.03088,-0.177198
O94441,-0.29966,-0.0404963
O74499,-0.749908,-0.372194
O59836,-0.834707,-0.420292
P50582,-0.778389,-0.37021
P32372,-1.20324,-0.248356
Q9HGM3,-0.253583,-0.207291
Q9USX1,-0.409847,-0.429515
P26306,-0.893654,-0.549015
P32587,-0.424979,-0.235986
Q10287,-0.837723,-0.355132
O74360,-0.438405,-0.400933
P36613,-0.576161,-0.373596
O13614,-0.248522,0.100783
O42935,-0.380494,-0.0240431
Q5FC18,-0.413316,-0.220043
O94301,-0.931008,-0.325981
Q9USU7,-0.424416,-0.277342
Q10101,-0.61585,-0.111531
P40231,-1.09891,-0.493
P87320,-0.33546,-0.454786
Q09688,-0.350986,0.0347304
O13834,-0.444666,-0.0673236
O94495,-0.499444,-0.1891
O74511,-1.39725,-0.734208
O94556,-0.679812,-0.494601
P78972,-0.571387,-0.265442
O74740,-0.600852,-0.190356
O13794,-1.13264,-0.539768
O14011,-1.66697,-0.630915
O94307,-0.577212,-0.33841
P10506,-0.9348,-0.482627
O13702,-0.2953,-0.291307
P87119,-0.424668,-0.167639
Q10475,-0.422075,-0.292854
Q10232,-0.239224,-0.0116551
Q09883,-0.573106,-0.402118
P41887,-0.839313,-0.490508
Q09750,-0.338356,-0.30946
O42937,-0.433099,-0.00309788
P87140,-0.492868,-0.10896
O74944,-0.558338,-0.178783
P78955,-0.851912,-0.241065
P50998,-1.22347,-0.428329
O14174,-0.541036,-0.0652068
O94513,-0.767278,-0.516007
Q9Y7R3,-0.837242,-0.0790644
O43068,-0.702415,-0.124193
Q9HGP5,-0.60535,-0.328381
Q10434,-0.739596,-0.157862
Q12381,-1.42457,-0.551113
O14187,-0.598998,-0.27667
P87242,-0.762965,-0.232501
Q9HE06,-0.421914,-0.337371
Q09755,-0.43265,-0.14613
Q9P4W9,-0.311983,-0.122654
P0C8R3,-0.268914,-0.0535953
P41892,-0.799849,-0.514296
O60187,-0.503635,-0.548955
O14063,-0.457405,-0.2419
Q10237,-0.589569,-0.360551
O74814,-0.82713,-0.222211
Q09842,-0.826992,-0.416199
O14240,-0.837684,-0.0847286
Q09813,-0.640061,-0.267983
O94658,-0.595644,-0.0992343
P87144,-0.360234,-0.252901
O74960,-0.520488,-0.22627
O42869,-0.513153,-0.444698
Q09898,-0.948819,-0.585809
O74319,-0.870134,-0.409089
P56523,-0.725116,-0.313288
O74990,-0.638342,-0.212767
O60065,-0.760151,-0.190615
O42839,-0.926088,-0.484554
O94446,-0.916086,-0.671926
Q09838,-0.378381,-0.316997
Q9Y7U6,-0.800452,-0.150021
Q9USU9,-0.304342,0.029729
Q10276,-0.312018,-0.104173
O74473,-0.795393,-0.631314
O13290,-0.763665,-0.257101
Q9Y7J9,-0.586086,0.0565008
P50999,-0.599483,-0.146677
O14092,-0.233205,-0.327699
Q9URX6,-0.408822,-0.169712
O13370,-0.758576,-0.408209
Q9HE04,-0.474819,0.0123606
P08647,-0.508096,-0.0762935
O13889,-0.596169,-0.564854
P56286,-0.769416,-0.0592844
P37202,-1.39206,-0.422464
O60124,-0.555022,-0.126099
P40847,-0.437415,-0.410308
P41412,-0.880244,-0.274115
Q9UUI3,-0.434123,-0.229031
O94643,-1.00884,-0.345422
Q09793,-0.320117,-0.132214
O13453,-0.758307,-0.00932741
Q10156,-0.446841,-0.479951
O14285,-0.63736,-0.307123
O94387,-0.209662,-0.0713207
O60155,-0.178023,-0.197533
Q9Y800,-0.389804,-0.325507
Q09756,-0.43588,-0.406084
Q10414,-0.272779,-0.316115
Q10349,-0.469259,-0.00590236
O74824,-0.966746,-0.267688
O74544,-0.617299,-0.42824
Q9C0Z9,-0.283211,-0.428264
O94285,-0.545194,-0.422023
Q10482,-0.499859,-0.303741
Q04665,-0.835199,-0.724016
O42991,-0.368285,-0.027293
O74331,-0.723128,-0.339507
Q9UUL2,-0.502962,-0.25842
O14185,-0.491867,-0.557559
P47979,-1.45525,-0.696701
O60058,-0.597035,-0.306704
O59945,-0.487101,-0.371988
Q9P546,-0.575191,-0.4967
P32390,-0.904045,-0.436423
Q9UTQ7,-0.545597,-0.409203
O14369,-0.14553,-0.166242
O94476,-0.422291,0.0852753
Q8X1T0,-0.255788,-0.438134
O36028,-0.478564,-0.252667
Q9URV0,-0.239966,0.0123903
O42971,-0.52766,-0.344475
P10505,-0.682083,-0.206847
Q10235,-0.703998,-0.319654
P04689,-0.833137,-0.458205
O59757,-0.70895,-0.566464
Q9UUA2,-0.437063,-0.244994
Q03392,-1.04658,-0.675564
Q01475,-0.560322,-0.123992
O94334,-0.467509,-0.107251
O14019,-0.25528,-0.139617
Q10362,-0.606639,-0.432277
O74928,-0.452947,-0.0951446
P36600,-0.718438,-0.237869
P25295,-0.832167,-0.285373
O43017,-0.928875,-0.285027
O74994,-0.475959,-0.32241
Q9UUG5,-0.521517,-0.454254
Q10147,-0.346515,-0.300128
O13615,-0.563907,-0.428959
O94668,-0.782614,-0.344373
P36612,-0.685798,-0.409105
O14243,-0.556512,-0.136317
P08463,-0.380818,-0.295759
Q9UTI8,-0.56609,-0.229818
O94365,-0.0942871,-0.317385
O74864,-0.35711,-0.390714
P36579,-0.319365,-0.0402508
Q9UTG4,-0.458922,-0.169206
O13823,-0.559619,-0.350259
O74919,-0.743356,-0.429587
Q09720,-0.579005,-0.266563
Q9USQ9,-0.293151,-0.396602
O14193,-0.255219,-0.430154
O94565,-0.346252,-0.315432
P78831,-0.347568,-0.147051
O74986,-0.534551,-0.457862
O43070,-0.664995,-0.428822
Q9US25,-0.484157,-0.482678
Q9USM4,-0.374879,-0.359897
Q10163,-0.39514,-0.31796
P06652,-0.702175,-0.178527
Q9USP0,-0.424303,-0.0745137
O74854,-0.459944,-0.24732
O74904,-0.559394,-0.0936879
Q9UTC3,-0.790538,-0.227002
Q96WV9,-0.823194,-0.492058
P30821,-0.608278,-0.318821
P0CS87,-0.495152,-0.141342
Q10173,-0.829124,-0.422127
Q09877,-0.384329,-0.0202425
Q10322,-1.12971,-0.525478
O14198,-0.635709,-0.358571
Q10477,-0.817426,-0.458663
Q10443,-0.543512,-0.308981
