gene,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
O42900,0.0744178,-0.0607904,-0.104144,-0.0453402,-0.24759,-0.111551,0.095609,0.154653,-0.171778,-0.16843,-0.134351,0.0451646,0.0899309,-0.0672744,0.00465402,0.236081,0.0957937,-0.299258,0.00796876,-0.0244931,0.0679643,-0.136744,-0.117503,-0.0883448
Q07551,0.0909936,-0.0640752,-0.0815807,-0.0167541,-0.251645,-0.138513,0.0663897,0.190424,-0.174583,-0.171413,-0.134581,0.054856,0.0935486,-0.0650465,0.00980626,0.254694,0.0791455,-0.313293,0.0107255,-0.0353039,0.0545568,-0.157545,-0.102007,-0.094079
O13848,0.0970438,-0.0979,-0.0934333,-0.0245893,-0.2199,-0.118931,0.0926163,0.165647,-0.16933,-0.175549,-0.116236,0.0703736,0.057301,-0.0692729,0.0180404,0.246197,0.108449,-0.326128,0.0258943,-0.0359044,0.0602078,-0.148114,-0.0938547,-0.0818797
Q9USN0,0.0728331,-0.0592646,-0.0840146,-0.0159282,-0.230416,-0.115101,0.0620896,0.166521,-0.126238,-0.153896,-0.124679,0.0431632,0.0870045,-0.0720089,-0.00229333,0.234319,0.0858628,-0.30932,0.0159204,-0.0245762,0.0438305,-0.117059,-0.0786369,-0.0782427
P30777,0.0936225,-0.0943079,-0.0762268,-0.0256873,-0.242326,-0.110204,0.084194,0.174362,-0.164389,-0.177907,-0.10324,0.0775377,0.08263,-0.0918715,-0.00994574,0.212772,0.0798353,-0.310913,0.0210455,-0.0327441,0.0676223,-0.162626,-0.0842693,-0.0906122
O14357,0.0925924,-0.0543823,-0.0592556,-0.0321879,-0.203857,-0.112631,0.0893741,0.164754,-0.140942,-0.141896,-0.128216,0.0421508,0.0852166,-0.0679425,-0.0184859,0.22793,0.084269,-0.313165,0.0188923,-0.0159774,0.0733405,-0.142585,-0.113865,-0.0545642
P53306,0.0710969,-0.0627154,-0.069432,-0.0374767,-0.227735,-0.121514,0.0875112,0.175315,-0.154377,-0.174925,-0.111713,0.0771832,0.086617,-0.0657592,-0.0106424,0.260914,0.0853669,-0.345205,0.00224493,-0.0289439,0.0867782,-0.142847,-0.125525,-0.0634699
Q04272,0.0710691,-0.0696207,-0.0719789,-0.0446847,-0.201666,-0.116695,0.0604336,0.14397,-0.140895,-0.14121,-0.0876957,0.034881,0.070335,-0.0432113,0.00933279,0.174094,0.0673837,-0.274197,0.0199568,-0.0423411,0.0453592,-0.119928,-0.104817,-0.0752955
O94318,0.0697915,-0.0532659,-0.0687429,-0.0441905,-0.208855,-0.0948141,0.068458,0.146573,-0.126045,-0.134815,-0.133832,0.0381108,0.0939958,-0.0490947,0.0185168,0.211651,0.0985677,-0.275523,-0.00064182,-0.0366238,0.0660038,-0.129101,-0.113296,-0.0804429
P04046,0.0872063,-0.0636989,-0.0759405,-0.0432075,-0.214051,-0.133766,0.0704241,0.188546,-0.128649,-0.153385,-0.0983722,0.0715515,0.0914613,-0.0787673,-0.0105029,0.223364,0.0777615,-0.3226,0.0187041,-0.03173,0.0466326,-0.134052,-0.110669,-0.0700744
P41390,0.0896872,-0.0792126,-0.0772403,-0.0482542,-0.247363,-0.115836,0.0904742,0.172758,-0.152174,-0.169427,-0.132829,0.0396994,0.0680692,-0.0738135,-0.0245625,0.242069,0.102688,-0.288904,0.00213259,-0.0293035,0.04039,-0.122368,-0.106848,-0.0932781
Q05902,0.0667411,-0.0779434,-0.0680105,-0.0226537,-0.261525,-0.122841,0.101924,0.179103,-0.18365,-0.19486,-0.120005,0.0634037,0.0677539,-0.0687632,-0.00625699,0.252539,0.10941,-0.312825,0.0107285,-0.0299441,0.0834916,-0.152861,-0.100385,-0.0979813
Q9US04,0.0975058,-0.0718902,-0.093069,-0.0432132,-0.288326,-0.141971,0.0720294,0.180608,-0.17878,-0.199099,-0.140058,0.0690656,0.088988,-0.0904379,-0.00396219,0.246164,0.0854523,-0.353329,0.0157925,-0.0191356,0.0905968,-0.145667,-0.105252,-0.0747504
P40496,0.0555959,-0.0697103,-0.0854102,-0.0078289,-0.220083,-0.105868,0.0763102,0.167777,-0.116352,-0.143992,-0.111486,0.070199,0.089869,-0.0813017,0.000997019,0.199139,0.0895941,-0.266214,0.0054886,-0.0311327,0.070904,-0.126376,-0.0868923,-0.0562127
O42911,0.0611682,-0.062328,-0.07092,-0.00821305,-0.227073,-0.113287,0.0726236,0.15572,-0.143344,-0.166405,-0.114894,0.0689605,0.0847154,-0.0927119,-0.0215687,0.237158,0.0778129,-0.286194,-0.00821414,-0.0108266,0.0687408,-0.125694,-0.113607,-0.0779402
Q10489,0.066386,-0.0448423,-0.0688981,-0.014836,-0.210588,-0.0869249,0.079858,0.164247,-0.122031,-0.134829,-0.115599,0.0262626,0.0871142,-0.0425202,-0.00234598,0.209486,0.0530086,-0.279495,0.00922837,-0.0126895,0.0640543,-0.133241,-0.106022,-0.0634746
P16387,0.0741359,-0.0680004,-0.0854598,-0.0232297,-0.243635,-0.131332,0.100647,0.172476,-0.145637,-0.166133,-0.144622,0.0447174,0.106857,-0.0659617,0.00751438,0.225595,0.0947024,-0.349423,0.0205206,-0.0369351,0.078485,-0.132874,-0.0960059,-0.0607397
O00103,0.0637406,-0.0555372,-0.0685674,-0.0134868,-0.239183,-0.113453,0.0728226,0.182546,-0.153603,-0.174917,-0.128113,0.0472823,0.0846497,-0.083275,0.0185108,0.240852,0.0858112,-0.29223,-0.00711078,-0.0412532,0.0601799,-0.138511,-0.084231,-0.0622819
P52492,0.084927,-0.0930203,-0.064455,-0.045353,-0.241033,-0.139738,0.104585,0.194923,-0.152834,-0.154782,-0.11343,0.0447071,0.0857204,-0.0557394,-0.00579954,0.23732,0.0959038,-0.322253,0.00595473,-0.0139126,0.0662486,-0.147275,-0.105571,-0.0663704
P32266,0.062403,-0.0452968,-0.0659701,-0.00907382,-0.1934,-0.11991,0.0920693,0.151774,-0.12929,-0.166674,-0.102247,0.0380218,0.0565068,-0.0849259,0.0080444,0.191386,0.0772052,-0.287306,0.00427409,-0.0455431,0.0741219,-0.122044,-0.109573,-0.0684715
P87320,0.0599801,-0.0883199,-0.0526989,-0.0346861,-0.23049,-0.106152,0.0553993,0.152104,-0.145186,-0.147655,-0.131493,0.0307483,0.067246,-0.0673601,-0.0183262,0.218129,0.0960622,-0.284537,0.0216983,-0.0365265,0.047534,-0.149966,-0.0775535,-0.0758539
P50582,0.0813988,-0.0569407,-0.0954888,-0.0420865,-0.232746,-0.127393,0.100717,0.16867,-0.164851,-0.178256,-0.112747,0.0591951,0.101076,-0.0653167,0.0101137,0.223389,0.112544,-0.323393,0.0283869,-0.0410956,0.0893367,-0.171479,-0.116805,-0.096113
P06243,0.0979431,-0.084012,-0.0962478,-0.00800619,-0.224655,-0.12335,0.103356,0.184228,-0.161563,-0.161118,-0.136657,0.0364258,0.089694,-0.0683992,-0.00212108,0.213818,0.0913608,-0.326692,-0.00654411,-0.038667,0.0596228,-0.152463,-0.0936779,-0.0881245
P38786,0.078966,-0.074436,-0.0945658,-0.00886487,-0.223065,-0.0997843,0.0829819,0.178204,-0.141707,-0.160972,-0.124538,0.051,0.0777841,-0.0830735,0.00151127,0.184222,0.0914208,-0.264017,-0.0018813,-0.0172151,0.0596183,-0.121154,-0.116498,-0.079542
P87120,0.0830748,-0.0823174,-0.0866352,-0.00487645,-0.249143,-0.144316,0.0881721,0.158661,-0.143126,-0.188152,-0.130118,0.0593047,0.0645192,-0.0732985,-0.0154099,0.217751,0.106595,-0.298649,0.0199138,-0.0200163,0.0511078,-0.125672,-0.122667,-0.078809
P32476,0.0882693,-0.0814626,-0.0845032,-0.00531217,-0.213791,-0.105866,0.0646277,0.146791,-0.122635,-0.149074,-0.0984852,0.0438693,0.0723183,-0.0716458,-0.0107731,0.197336,0.057962,-0.282483,0.0068213,-0.036877,0.0683373,-0.135367,-0.074899,-0.0720717
Q9C1W3,0.0996302,-0.0611086,-0.0684504,-0.0335317,-0.217767,-0.107269,0.0633288,0.158046,-0.155375,-0.157212,-0.131224,0.0518306,0.102461,-0.0592161,-0.0101469,0.240149,0.0927649,-0.322976,0.00125767,-0.0209249,0.0509623,-0.15839,-0.100973,-0.0947275
Q9UUM2,0.0861859,-0.101163,-0.11301,-0.0262312,-0.255587,-0.14645,0.10513,0.182209,-0.152636,-0.171823,-0.126904,0.0611445,0.104028,-0.0736342,0.010813,0.250096,0.0999366,-0.338929,0.00808797,-0.0203449,0.086321,-0.156751,-0.136214,-0.0898989
P53840,0.0740256,-0.0645454,-0.0794446,-0.00534679,-0.219309,-0.134411,0.0989587,0.167923,-0.158748,-0.187116,-0.14115,0.0791813,0.0748439,-0.0712899,-0.0105705,0.210474,0.107712,-0.320883,0.0140784,-0.043154,0.0565003,-0.153028,-0.119639,-0.0956046
P35842,0.0766667,-0.0601266,-0.0869242,-0.0206866,-0.221746,-0.11238,0.0768051,0.163678,-0.119313,-0.150145,-0.106377,0.0312398,0.0882019,-0.0798452,-0.00766902,0.207926,0.102299,-0.284253,-0.00771982,-0.0249475,0.0462083,-0.12206,-0.109729,-0.0857088
Q01682,0.0796639,-0.0579709,-0.100357,-0.0385043,-0.209311,-0.123938,0.0795365,0.143625,-0.143129,-0.139609,-0.118415,0.0675222,0.0893326,-0.0650636,0.0140298,0.226143,0.0978742,-0.31378,0.00639395,-0.0340699,0.0802441,-0.147221,-0.095622,-0.0614175
O14233,0.0915273,-0.0559635,-0.0595773,-0.0432439,-0.230701,-0.1317,0.0681672,0.159318,-0.143308,-0.136633,-0.105097,0.0435554,0.0650429,-0.0753351,0.00800102,0.200773,0.0773572,-0.301206,0.0142482,-0.00858601,0.048056,-0.136926,-0.0930176,-0.0755404
P25298,0.0617666,-0.0597251,-0.0998927,-0.0414036,-0.220507,-0.114228,0.0619304,0.162687,-0.137269,-0.166678,-0.123776,0.0667794,0.0564063,-0.0780838,-0.00219773,0.239178,0.105059,-0.326467,0.0216571,-0.0101762,0.0831491,-0.121988,-0.0998642,-0.0685969
Q9P7S1,0.0802219,-0.0862567,-0.0825774,-0.0446528,-0.235823,-0.132368,0.0728654,0.16547,-0.155677,-0.17796,-0.100905,0.0373907,0.0637459,-0.0882797,0.00262729,0.219056,0.0755787,-0.287533,0.0256738,-0.0269755,0.0866753,-0.155563,-0.125012,-0.0797004
P53920,0.0837807,-0.051489,-0.0683281,-0.025676,-0.226192,-0.112579,0.0901694,0.175081,-0.129695,-0.181661,-0.122862,0.0679931,0.0669031,-0.0536473,-0.00028502,0.234253,0.0795887,-0.323102,-0.00745265,-0.0429271,0.0693118,-0.133825,-0.114381,-0.0644314
P40004,0.0730983,-0.0833045,-0.0818881,-0.0342954,-0.241566,-0.121273,0.0665316,0.167737,-0.164136,-0.152175,-0.13376,0.0618237,0.0814139,-0.0570009,-0.0187077,0.212405,0.0790808,-0.297356,0.0116341,-0.017944,0.0605023,-0.142071,-0.0901948,-0.0727451
O74750,0.0912668,-0.0641349,-0.105319,-0.0186538,-0.252827,-0.11205,0.0682618,0.192943,-0.149121,-0.156543,-0.121755,0.0445902,0.0828379,-0.0802557,0.0168614,0.247795,0.109804,-0.318935,0.00381124,-0.0532562,0.0663539,-0.151873,-0.100729,-0.0799149
Q12434,0.0922674,-0.0818888,-0.0685241,-0.0354943,-0.222226,-0.115784,0.0754704,0.151796,-0.15385,-0.158461,-0.115696,0.058928,0.0615187,-0.0617758,0.00451765,0.191936,0.0785855,-0.30736,0.0132031,-0.0278684,0.0485962,-0.126985,-0.0934756,-0.0847465
O14224,0.102785,-0.083819,-0.102877,-0.035967,-0.236463,-0.107807,0.0890906,0.153438,-0.134031,-0.156062,-0.12511,0.0778715,0.0697276,-0.0612851,0.000394784,0.206345,0.09057,-0.327456,-0.00730818,-0.0325241,0.0430316,-0.155291,-0.104389,-0.0961404
Q12383,0.0698489,-0.0555027,-0.0880851,-0.0397545,-0.230873,-0.107546,0.0859189,0.156937,-0.155783,-0.137622,-0.115063,0.0633878,0.0600082,-0.0673306,-0.0172536,0.199998,0.0893261,-0.301743,0.00844163,-0.0426714,0.0632623,-0.126317,-0.0929535,-0.0745532
Q9UTH1,0.0707019,-0.0655477,-0.0706947,-0.00705194,-0.226999,-0.107567,0.0724286,0.150094,-0.147081,-0.173929,-0.122752,0.0653683,0.0642872,-0.0455308,0.0198166,0.230861,0.0704394,-0.310742,0.0151892,-0.0321334,0.0734267,-0.152342,-0.0976476,-0.0530629
P17119,0.0637253,-0.0787586,-0.0817316,-0.0489862,-0.223845,-0.112913,0.0555086,0.151575,-0.15055,-0.130613,-0.095736,0.0636565,0.0747209,-0.0728605,0.00216619,0.216076,0.0998467,-0.297659,0.0229531,-0.0369055,0.0514662,-0.121392,-0.111716,-0.0771972
Q9US03,0.0969074,-0.0863458,-0.0883446,-0.00736453,-0.24966,-0.107684,0.0843185,0.189918,-0.14271,-0.153043,-0.127796,0.0526556,0.0949823,-0.0857627,0.00253391,0.223317,0.0809,-0.303478,0.00597105,-0.0146306,0.0499913,-0.15286,-0.10013,-0.0744172
O14042,0.0854321,-0.0421143,-0.0725365,-0.00982805,-0.210934,-0.10152,0.0542477,0.14623,-0.137056,-0.145261,-0.0989505,0.0613711,0.0492607,-0.0538521,0.0213098,0.185137,0.0804465,-0.267679,0.0124537,-0.0114466,0.0519181,-0.138054,-0.106157,-0.0731116
P43557,0.0672682,-0.0850646,-0.060221,-0.0462395,-0.225212,-0.10621,0.0827396,0.180523,-0.15127,-0.172608,-0.134083,0.0605044,0.08279,-0.066182,-0.0148221,0.204637,0.0658357,-0.290918,0.0130739,-0.00994501,0.0472333,-0.144593,-0.0813674,-0.0736325
P43558,0.0775337,-0.0821396,-0.0581549,-0.0141709,-0.217718,-0.118082,0.0633963,0.152193,-0.141812,-0.137203,-0.0972808,0.0544651,0.0608413,-0.0445228,0.0100321,0.189984,0.0735954,-0.249426,-0.0112996,-0.0257335,0.0712809,-0.136412,-0.0739127,-0.0725194
O13974,0.0812976,-0.085622,-0.0503528,-0.00923291,-0.1997,-0.117411,0.0542587,0.145637,-0.133024,-0.149803,-0.111652,0.0335905,0.0674963,-0.0785224,-0.0138965,0.186592,0.0818232,-0.280005,-0.00834869,-0.00248978,0.0385098,-0.139187,-0.0748521,-0.0711432
Q9P7H3,0.070827,-0.0873891,-0.0891839,-0.0184877,-0.216107,-0.100942,0.0523493,0.145273,-0.133348,-0.16556,-0.113412,0.0453359,0.0939365,-0.0700166,0.0136351,0.222215,0.0599366,-0.28174,0.0172508,-0.0428113,0.0524483,-0.124363,-0.110232,-0.0699586
P40961,0.0808512,-0.0533321,-0.0904319,-0.00792348,-0.22818,-0.125722,0.0967843,0.173738,-0.158986,-0.137235,-0.129126,0.058412,0.0763509,-0.0651756,-0.00930764,0.19879,0.0756419,-0.312348,0.002448,-0.0498103,0.0437908,-0.128583,-0.102583,-0.0585885
Q92398,0.0969416,-0.0768494,-0.0633494,-0.0336417,-0.205288,-0.119763,0.0810566,0.160454,-0.122184,-0.149593,-0.0965656,0.0483242,0.0553059,-0.043902,-0.0200765,0.192543,0.0577421,-0.292941,-0.00854528,-0.0210079,0.0440251,-0.119762,-0.0856553,-0.0823124
Q00772,0.0551746,-0.0625815,-0.0723272,-0.0226845,-0.219324,-0.0992974,0.0889605,0.166359,-0.122437,-0.158673,-0.122272,0.0423642,0.0564342,-0.0671637,0.0174139,0.194429,0.0769464,-0.292379,0.0247044,-0.0228229,0.0479988,-0.111103,-0.0939081,-0.0676799
P38702,0.0918279,-0.0744967,-0.0881667,-0.0182534,-0.190028,-0.103034,0.0851059,0.146158,-0.12601,-0.138466,-0.0933034,0.057395,0.0776596,-0.0722356,0.000336826,0.180958,0.0675445,-0.259074,0.0284181,-0.0429032,0.0548969,-0.130069,-0.0890514,-0.0760772
O13805,0.0693664,-0.0708796,-0.083066,-0.0347573,-0.230237,-0.100407,0.0933685,0.165655,-0.133243,-0.17233,-0.119259,0.0585948,0.0747102,-0.0840579,-0.0102626,0.208315,0.0623345,-0.278754,0.0136155,-0.0442369,0.0383946,-0.127239,-0.0733114,-0.0615567
Q08913,0.0662895,-0.0818964,-0.0566266,-0.0429435,-0.193933,-0.0886233,0.0860239,0.132196,-0.148183,-0.152862,-0.110644,0.0343978,0.0595311,-0.039146,-0.0157915,0.193378,0.0686061,-0.288852,0.0265596,-0.0441039,0.041797,-0.135562,-0.0985327,-0.0663693
P0CU20,0.0621068,-0.0719108,-0.083827,-0.0128075,-0.193717,-0.108613,0.0738907,0.17064,-0.154296,-0.129455,-0.0879422,0.0609306,0.0836651,-0.0413115,-0.0171704,0.20917,0.0969692,-0.294955,-0.004566,-0.0324614,0.0466264,-0.143939,-0.111363,-0.0659099
O74799,0.0958613,-0.0782921,-0.0924182,-0.0205884,-0.248339,-0.106341,0.101253,0.181208,-0.153207,-0.156522,-0.119241,0.0375128,0.0799433,-0.0722028,-0.00963381,0.232765,0.100271,-0.319851,0.032125,-0.0337912,0.082218,-0.138748,-0.10174,-0.101763
P38081,0.0859272,-0.0751243,-0.0761672,-0.0408914,-0.254187,-0.108329,0.102133,0.178002,-0.154119,-0.148424,-0.110285,0.0769256,0.0688228,-0.0747833,-0.000813911,0.227243,0.0747172,-0.335816,0.0170523,-0.0529735,0.0667613,-0.145633,-0.101889,-0.0849359
O13917,0.0633102,-0.067961,-0.0767938,-0.0149306,-0.222446,-0.0965916,0.0892087,0.132904,-0.151024,-0.149608,-0.120632,0.0416853,0.0679216,-0.0550947,0.0194552,0.208539,0.0666944,-0.259479,0.00924253,-0.0310269,0.0487607,-0.108218,-0.108203,-0.077754
P47165,0.0742714,-0.0546883,-0.0822064,-0.00747608,-0.214242,-0.105405,0.0613626,0.166084,-0.159034,-0.174627,-0.119628,0.0710072,0.0628043,-0.0889081,0.00596679,0.217114,0.102526,-0.286991,0.0258712,-0.0229406,0.0728511,-0.142264,-0.100979,-0.0703598
P15454,0.0646443,-0.0451024,-0.0466908,-0.00651945,-0.214511,-0.103411,0.0508551,0.141362,-0.13067,-0.150296,-0.1198,0.0362213,0.0510122,-0.0657019,5.08674e-05,0.190499,0.0907913,-0.241759,0.0186564,-0.0397773,0.0507605,-0.130473,-0.0894814,-0.0867388
Q9P6I5,0.0727653,-0.0610405,-0.0635588,-0.042782,-0.204922,-0.113605,0.0714251,0.145679,-0.128349,-0.127775,-0.111527,0.0416962,0.08193,-0.045189,-0.0212472,0.197254,0.0561777,-0.270627,-0.0106658,-0.0270837,0.0438822,-0.139533,-0.0966276,-0.0491964
P79064,0.0769466,-0.0698012,-0.0684964,-0.0060069,-0.220219,-0.121923,0.0951053,0.182706,-0.131407,-0.139058,-0.106038,0.0599036,0.0507829,-0.0543109,0.0114044,0.205383,0.0629624,-0.283936,-0.00773478,-0.0410616,0.0498376,-0.150517,-0.093799,-0.0919223
Q06624,0.0700094,-0.0702176,-0.0962046,-0.0372035,-0.219851,-0.102688,0.0907314,0.162542,-0.154995,-0.161821,-0.0981479,0.073811,0.0728653,-0.0640747,-0.0141709,0.206776,0.0945545,-0.312492,0.0231043,-0.0466851,0.0404844,-0.15433,-0.100751,-0.0578691
P40345,0.0594574,-0.075268,-0.0618957,-0.0233257,-0.207458,-0.129417,0.0931796,0.16078,-0.150143,-0.166519,-0.104386,0.063896,0.0585362,-0.0767669,-0.0058113,0.218067,0.0804418,-0.28382,0.00523148,-0.0452745,0.0435527,-0.143249,-0.0863384,-0.0884502
O94680,0.0709516,-0.0641519,-0.0812883,-0.0456564,-0.249676,-0.107423,0.0879196,0.183549,-0.169285,-0.166223,-0.132894,0.0706347,0.0905115,-0.0686395,-0.0217879,0.235791,0.0901637,-0.325624,0.0290615,-0.023465,0.0648093,-0.137161,-0.0874969,-0.0684987
P14540,0.0619465,-0.0697509,-0.090147,-0.00335161,-0.22073,-0.109538,0.0545031,0.150666,-0.150347,-0.136654,-0.117615,0.031715,0.0633299,-0.0792789,-0.0105339,0.187119,0.0782283,-0.263577,0.0202194,-0.0104002,0.065869,-0.120309,-0.085531,-0.0840216
P36580,0.0637644,-0.0836552,-0.0773325,-0.0103253,-0.218066,-0.0879803,0.0841014,0.171165,-0.149615,-0.167094,-0.112832,0.0352703,0.0485911,-0.0564278,-0.0221516,0.216783,0.0826699,-0.257204,0.0119328,-0.0103285,0.0341947,-0.137093,-0.110332,-0.0750757
