protein,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
P80667,-0.0518646,-0.298873,-0.110272,-0.139028,0.152802,0.38647,-0.309592,-0.0259409,-0.0478016,0.408076,0.122257,0.0694743,-0.170965,0.034547,0.0400777,-0.163763,-0.20788,0.100838,-0.335861,0.497516,0.104745,0.0393814,-0.00894483,-0.177763
P00927,-0.0641668,-0.192681,-0.0693136,-0.131884,0.128035,0.265034,-0.217234,0.0143532,-0.0417874,0.275031,0.0839639,0.0435153,-0.122364,0.0349961,0.0150804,-0.146266,-0.168185,0.0813217,-0.258033,0.382506,0.0634945,0.041806,-0.00163222,-0.133821
P19882,-0.0619324,-0.261413,-0.0857175,-0.155589,0.136492,0.348902,-0.275281,-0.0107361,-0.0294849,0.343932,0.12023,0.0942819,-0.136041,0.0335228,0.0313259,-0.159686,-0.195755,0.0740196,-0.309734,0.458991,0.121588,0.0398812,0.0176429,-0.181699
P32505,-0.179916,-0.827526,-0.32677,-0.487276,0.492329,1.10084,-0.868741,-0.0265681,-0.155185,1.16092,0.36803,0.26201,-0.45757,0.134406,0.130175,-0.544628,-0.588807,0.2869,-0.989072,1.48133,0.337149,0.129793,-0.0100347,-0.573579
P40562,-0.0239896,-0.149827,-0.0819577,-0.094943,0.0902936,0.225598,-0.148556,-0.0111121,-0.0292294,0.213609,0.0763284,0.0629044,-0.0995115,0.0262194,0.0271607,-0.112882,-0.0990883,0.0647558,-0.188508,0.299116,0.0444783,0.020699,0.011281,-0.107254
Q03834,-0.044258,-0.182283,-0.0718831,-0.106597,0.11035,0.276715,-0.205593,-0.0212956,-0.0458528,0.290732,0.0951577,0.0524979,-0.0974316,0.0345033,0.0276,-0.141619,-0.13205,0.0553125,-0.242439,0.371431,0.0743065,0.016073,0.0211198,-0.139884
Q06070,-0.00460915,-0.0664829,-0.0185727,-0.0560536,0.042982,0.111174,-0.0956184,-0.0124431,-0.0094753,0.112763,0.0383119,0.0385425,-0.0302801,0.0153955,0.00825886,-0.0356671,-0.060967,0.0178195,-0.0992035,0.170794,0.0341842,0.00947678,0.00405394,-0.0471467
Q08964,-0.061388,-0.199521,-0.0756935,-0.112391,0.096491,0.266358,-0.234173,-0.0117752,-0.0348354,0.285473,0.0931219,0.0657591,-0.136928,0.0466503,0.047442,-0.114787,-0.134174,0.072954,-0.248472,0.366988,0.0879377,0.0457971,-0.011437,-0.132372
P32364,-0.0695321,-0.323121,-0.144088,-0.173699,0.164447,0.445171,-0.317931,-0.0142694,-0.0481261,0.453352,0.121592,0.0891424,-0.163255,0.0554981,0.0478871,-0.218987,-0.212806,0.120201,-0.376609,0.559324,0.129084,0.024069,0.0137727,-0.225121
P38910,-0.0361779,-0.118892,-0.0394015,-0.066477,0.0618299,0.168333,-0.11495,0.00941862,-0.00175935,0.173579,0.0556781,0.0569938,-0.0851337,-0.000352206,0.0390098,-0.0739118,-0.0832687,0.0410273,-0.164102,0.203069,0.0456759,0.0121315,0.0120761,-0.0921746
Q12415,-0.0546373,-0.173276,-0.0665576,-0.084203,0.109523,0.22555,-0.170921,0.0114099,-0.0180069,0.228121,0.0801719,0.0435229,-0.0817803,0.0297415,0.0297492,-0.128145,-0.135608,0.0562902,-0.21159,0.303489,0.0766035,0.0167029,0.0168125,-0.117705
P25567,-0.147026,-0.759608,-0.332328,-0.437031,0.473756,1.09424,-0.843702,-0.00371306,-0.166581,1.10552,0.363108,0.265468,-0.452964,0.0976295,0.125118,-0.524291,-0.568232,0.235825,-0.927542,1.41591,0.3053,0.102591,-0.00945194,-0.552115
Q00618,-0.0266197,-0.111736,-0.0328083,-0.0798576,0.0748484,0.173744,-0.142568,-0.00347881,-0.0208116,0.176321,0.0481592,0.0317954,-0.0807506,0.0183638,0.0231986,-0.0852163,-0.0837331,0.0426579,-0.138533,0.199712,0.067108,0.0146795,-0.00197499,-0.0916054
P09880,-0.0234461,-0.0609387,-0.04492,-0.064817,0.0343562,0.122672,-0.0757633,0.00398801,-0.0313796,0.133502,0.0493069,0.0392039,-0.0293796,0.00596414,0.0333526,-0.0548476,-0.0481895,0.0330805,-0.0920453,0.140659,0.0287494,-0.00428946,0.012841,-0.0445424
P80210,-0.041865,-0.1156,-0.056311,-0.0665809,0.0759314,0.171609,-0.148062,0.0126066,-0.0403864,0.174728,0.052348,0.0485393,-0.0660634,0.023107,0.0344332,-0.0802658,-0.0818217,0.0240179,-0.143372,0.226268,0.0414943,0.00772701,-0.00908165,-0.087028
Q06525,-0.0701815,-0.34171,-0.157455,-0.190763,0.190417,0.484805,-0.378665,0.0070714,-0.0743787,0.491027,0.137996,0.123361,-0.215932,0.0421149,0.0376367,-0.221983,-0.24954,0.128053,-0.410842,0.631567,0.131798,0.0473554,0.0213501,-0.219197
P12383,-0.0435179,-0.165398,-0.0744554,-0.101019,0.064541,0.212157,-0.171238,-0.0101216,-0.0302784,0.195042,0.0816432,0.0450597,-0.101201,0.0292056,0.0139633,-0.10283,-0.0913585,0.0643253,-0.167727,0.266553,0.0770108,-0.000259174,0.0153629,-0.115553
P52871,-0.0548655,-0.167517,-0.0615467,-0.0810101,0.105648,0.212449,-0.158313,-0.0050621,-0.023707,0.236093,0.0495849,0.0675461,-0.0829894,0.00329702,0.00581241,-0.0958558,-0.100392,0.0661414,-0.189552,0.265759,0.0614336,0.0115001,-0.0122805,-0.0980406
P31688,-0.0512393,-0.151318,-0.0731931,-0.102504,0.090954,0.232377,-0.164318,0.00991293,-0.0188196,0.250533,0.0694173,0.0344868,-0.0792248,0.0287467,0.0346728,-0.101813,-0.113976,0.0396756,-0.197293,0.31191,0.05402,0.0138364,0.000417846,-0.124118
P39552,-0.0410119,-0.171281,-0.0681062,-0.0875365,0.0957913,0.231592,-0.167674,0.0163507,-0.0211951,0.213661,0.0528395,0.0411738,-0.0842429,0.0387123,0.0459184,-0.0858876,-0.106816,0.0337511,-0.190369,0.277217,0.0440451,0.0283315,-0.0190625,-0.122138
P06197,-0.0312872,-0.225989,-0.0682033,-0.131207,0.139546,0.301982,-0.227362,0.00691742,-0.0399217,0.313397,0.0936872,0.0771521,-0.136324,0.0186789,0.0259251,-0.136573,-0.168649,0.0643394,-0.234495,0.369522,0.0812679,0.0153216,0.0225762,-0.148082
Q03370,-0.0875721,-0.328043,-0.117128,-0.166543,0.200324,0.441656,-0.351796,0.000386011,-0.0533726,0.433011,0.134171,0.108308,-0.173757,0.0550457,0.0555576,-0.194037,-0.239155,0.121136,-0.393187,0.554685,0.140603,0.0304952,-0.00946359,-0.2073
P20434,-0.0575078,-0.257231,-0.103213,-0.144147,0.127655,0.358348,-0.267493,0.00645267,-0.0540624,0.327245,0.109667,0.0736815,-0.147273,0.0352482,0.0292272,-0.169587,-0.175018,0.0884506,-0.287207,0.424934,0.102971,0.0241831,0.00437036,-0.148187
P39735,-0.0397564,-0.168633,-0.0596671,-0.0944049,0.100064,0.236568,-0.156382,-0.00244071,-0.0449348,0.22862,0.0725085,0.0637129,-0.0731173,0.0327375,0.0355165,-0.109677,-0.129702,0.0542581,-0.195522,0.29771,0.0822442,0.0277926,0.00388797,-0.122824
P30620,-0.0231967,-0.0981117,-0.0191872,-0.0408978,0.0290562,0.131178,-0.0753658,-0.00429122,-0.0160699,0.124923,0.0431907,0.0462184,-0.068459,0.0232057,0.000785561,-0.0692561,-0.0717205,0.0362823,-0.104024,0.164856,0.0427234,-0.00589029,0.000317222,-0.0700098
P38797,-0.0359035,-0.129796,-0.0401407,-0.0605867,0.0769744,0.195969,-0.137822,0.00428569,-0.00572819,0.19171,0.0615651,0.0385725,-0.0970319,0.00671405,0.0425195,-0.0754388,-0.104819,0.0536423,-0.147131,0.268293,0.0354486,0.00284667,0.00200892,-0.0911746
P34252,-0.0616933,-0.249067,-0.0987138,-0.139244,0.141831,0.346073,-0.274753,-0.00384873,-0.0486992,0.340688,0.123604,0.0907915,-0.136053,0.0198063,0.0373497,-0.17145,-0.185825,0.0983267,-0.289416,0.426267,0.104385,0.0198488,-0.00630642,-0.147968
P38243,-0.0247534,-0.116827,-0.0210485,-0.0639179,0.0439517,0.13568,-0.120953,0.00789315,-0.0170077,0.124753,0.0229898,0.0199214,-0.037494,0.0170092,0.0232812,-0.0820998,-0.0533884,0.0168275,-0.133352,0.187816,0.0223743,-0.00533042,-0.00480942,-0.0703371
P0CG63,-0.126452,-0.68652,-0.255791,-0.388907,0.41266,1.01955,-0.805461,0.00393707,-0.168409,1.03715,0.305365,0.237852,-0.419664,0.092201,0.127193,-0.483945,-0.553793,0.246726,-0.841417,1.30621,0.271483,0.0812195,0.0143791,-0.471861
P35691,-0.0500386,-0.184012,-0.06391,-0.117155,0.0935103,0.240952,-0.185062,-0.00487687,-0.0164331,0.247423,0.0897275,0.0602072,-0.100287,0.007966,0.0390993,-0.1328,-0.146046,0.0409888,-0.223482,0.319891,0.0757693,0.0086202,-0.00952646,-0.144438
P32386,-0.0383183,-0.0963839,-0.0435881,-0.0675676,0.0471987,0.138776,-0.0960454,-0.0155002,0.00204707,0.105245,0.0501997,0.0414608,-0.0480657,0.0180466,0.016873,-0.0675207,-0.0818238,0.0100526,-0.111981,0.154879,0.0378633,0.00541497,0.000969,-0.0725109
Q12754,-0.0408391,-0.229788,-0.108559,-0.138134,0.150426,0.337977,-0.229698,0.012062,-0.0437393,0.323599,0.097965,0.0568596,-0.136933,0.0358291,0.0468904,-0.139435,-0.155842,0.0835979,-0.279895,0.406602,0.0734814,0.0408259,0.00976391,-0.146038
P20095,-0.0396443,-0.24478,-0.109188,-0.133268,0.146495,0.341373,-0.280451,0.00931503,-0.0432382,0.351825,0.102113,0.0856658,-0.127884,0.0172452,0.0543363,-0.173116,-0.170058,0.0671653,-0.307204,0.448259,0.11329,0.0460578,0.00766333,-0.146634
P40078,-0.0421828,-0.19001,-0.0747377,-0.100657,0.112116,0.276801,-0.23843,-0.0251571,-0.0183224,0.304709,0.0852731,0.0866635,-0.126853,0.0219732,0.0123242,-0.141495,-0.14309,0.0664626,-0.255118,0.376885,0.0999062,0.0396788,-0.018808,-0.154679
P36160,-0.0741668,-0.426596,-0.19732,-0.246454,0.257168,0.615554,-0.492057,-0.0011189,-0.0955556,0.615068,0.204533,0.139768,-0.27324,0.0707898,0.0823179,-0.29609,-0.305787,0.130436,-0.510835,0.785444,0.190794,0.0693718,0.00854861,-0.317515
Q03973,-0.0608173,-0.288642,-0.143062,-0.189216,0.178843,0.442045,-0.326921,0.00580928,-0.0581348,0.450905,0.13663,0.0990519,-0.176962,0.0352373,0.0426604,-0.209233,-0.211512,0.093014,-0.346715,0.532577,0.11474,0.0226749,-0.0176483,-0.198161
P34164,-0.0295643,-0.187269,-0.0891932,-0.0894689,0.0818036,0.223808,-0.177708,-0.00777913,-0.0453518,0.262903,0.0614909,0.0647969,-0.106189,0.0435747,0.0314155,-0.0947043,-0.142645,0.0722574,-0.204942,0.302812,0.0539531,0.0181193,-0.0106009,-0.133897
Q04739,-0.0430267,-0.175883,-0.0785522,-0.112135,0.110296,0.246797,-0.172767,-0.0157058,-0.0175978,0.220633,0.0921763,0.0592818,-0.0923444,0.0366083,0.0123112,-0.118133,-0.14298,0.037237,-0.180468,0.288781,0.0554417,0.033908,-0.0044671,-0.118624
P38990,-0.036207,-0.168752,-0.0782756,-0.0747622,0.096093,0.221479,-0.186353,0.00014576,-0.0313669,0.238944,0.0618267,0.0333951,-0.108252,0.0376352,0.0394647,-0.112159,-0.123157,0.0562449,-0.20266,0.268238,0.0737301,0.0129411,-0.00132262,-0.0987905
Q08622,-0.0215882,-0.10554,-0.0286944,-0.044136,0.0682422,0.140553,-0.108673,-0.0179315,-0.026575,0.156068,0.0467859,0.0311928,-0.0727843,0.0229839,0.018074,-0.0624772,-0.0908674,0.0310417,-0.107274,0.181982,0.0598874,0.0313921,0.00667567,-0.0629473
P07256,-0.108334,-0.440542,-0.186383,-0.257686,0.250273,0.597464,-0.455547,-0.0203377,-0.0789305,0.624904,0.206439,0.136646,-0.244551,0.0441051,0.0508244,-0.300115,-0.308658,0.139599,-0.488837,0.768386,0.183542,0.0553044,0.0219522,-0.308487
P00127,-0.0420612,-0.124937,-0.0483757,-0.0684826,0.0791044,0.174175,-0.12814,-0.0201717,-0.0324996,0.19383,0.0559251,0.0451854,-0.059164,0.0290183,0.0383971,-0.0657018,-0.1099,0.0573578,-0.170376,0.23256,0.0335665,0.0317326,0.00763033,-0.099709
P0C0V8,-0.0386304,-0.127715,-0.0270027,-0.0780309,0.0655011,0.16516,-0.106479,-0.0158857,-0.0428325,0.18072,0.0621843,0.0332711,-0.0656311,-0.000815997,0.0233412,-0.0864259,-0.0996396,0.0264622,-0.120873,0.196911,0.034205,0.0246303,-0.00533474,-0.0611657
Q12306,-0.110465,-0.610093,-0.256123,-0.348097,0.341691,0.814313,-0.651049,-0.0113392,-0.0955153,0.869521,0.24776,0.19759,-0.32976,0.0902288,0.0845401,-0.403389,-0.446505,0.202976,-0.714802,1.05973,0.24748,0.0707418,-0.00625711,-0.417983
P0CX36,-0.0509082,-0.232844,-0.109751,-0.127491,0.129173,0.320989,-0.244199,-0.00100877,-0.0522882,0.345656,0.1009,0.0728545,-0.114138,0.0177386,0.0184931,-0.132662,-0.17791,0.081794,-0.288585,0.414673,0.0758526,0.0486063,0.0132841,-0.148615
Q03981,-0.025689,-0.184477,-0.090204,-0.0891811,0.0998878,0.229982,-0.174393,0.0086367,-0.0289233,0.237256,0.0660389,0.0525132,-0.104591,0.0243744,0.0296297,-0.128729,-0.105159,0.0373389,-0.218664,0.283963,0.0654913,0.00886267,0.0148483,-0.103069
P47130,-0.020521,-0.173656,-0.0916414,-0.11608,0.0909566,0.271215,-0.207809,-0.0177479,-0.0223215,0.246912,0.0639179,0.0540052,-0.120472,0.0426632,0.0324794,-0.111625,-0.122358,0.0723038,-0.213277,0.322276,0.0783916,0.0269589,0.0208109,-0.110283
Q05530,-0.0194225,-0.0874883,-0.0581099,-0.0502583,0.0507627,0.138225,-0.100271,0.00357006,-0.0321096,0.146178,0.0328335,0.0494082,-0.0634518,0.0206555,0.0215413,-0.0602903,-0.0846636,0.0159228,-0.118327,0.17445,0.0300514,0.0326007,-0.0100452,-0.0529759
Q04216,-0.0411116,-0.0946235,-0.0345773,-0.0428919,0.0589514,0.128809,-0.0956772,-0.00531014,-0.03733,0.129109,0.0272239,0.0378674,-0.0595775,0.0304661,0.00567935,-0.0643518,-0.0669494,0.0429418,-0.110064,0.170136,0.0182077,-0.00142942,-0.00972888,-0.058481
P0CX13,-0.0168197,-0.174577,-0.0511883,-0.103125,0.0944207,0.255421,-0.183305,0.00189021,-0.0210248,0.23556,0.0757234,0.0728676,-0.11259,0.0402492,0.0269227,-0.11642,-0.129291,0.0503354,-0.209546,0.322551,0.0615087,0.0306253,0.000638666,-0.0992245
Q02774,-0.0750107,-0.287995,-0.13424,-0.182086,0.159833,0.405376,-0.31855,0.00414477,-0.0421325,0.409797,0.127334,0.085958,-0.192414,0.0377849,0.0622273,-0.171952,-0.222234,0.0769464,-0.364118,0.549067,0.111518,0.0369922,0.0160314,-0.181961
P38729,-0.0725284,-0.30052,-0.135266,-0.171924,0.177707,0.426478,-0.328109,-0.0127376,-0.0589186,0.434559,0.114073,0.084814,-0.163595,0.0618123,0.0303461,-0.186843,-0.210101,0.0849427,-0.332883,0.507544,0.117123,0.059628,0.00558816,-0.220008
Q05933,-0.034856,-0.201573,-0.0749868,-0.132188,0.103047,0.274352,-0.2339,0.0043769,-0.0533823,0.286271,0.082569,0.0723682,-0.12788,0.0143152,0.0537697,-0.141769,-0.127269,0.0855354,-0.225804,0.338883,0.0679784,0.0379963,0.0111956,-0.151389
P25340,-0.0280378,-0.158645,-0.0760355,-0.0992984,0.102154,0.241253,-0.200131,0.0160634,-0.0518582,0.231138,0.060152,0.0365386,-0.119591,0.0213019,0.0126865,-0.102169,-0.143837,0.0596912,-0.195072,0.31923,0.0621831,0.0389442,0.0196882,-0.121541
P39944,-0.0279911,-0.136279,-0.0354023,-0.0572991,0.0914778,0.190177,-0.123697,-0.00190537,-0.0268072,0.161036,0.0709629,0.0586104,-0.0651286,0.0135497,0.0322921,-0.100119,-0.0951171,0.0580685,-0.170121,0.212849,0.0560839,-0.00470219,0.0119079,-0.101032
Q05080,-0.0710472,-0.24447,-0.11572,-0.131274,0.150476,0.382846,-0.273667,-0.00297198,-0.0346203,0.391153,0.126692,0.0843646,-0.154743,0.0247858,0.0210589,-0.169691,-0.175828,0.0983855,-0.331374,0.472374,0.0945269,0.0534615,0.00767759,-0.16741
P36006,-0.0524368,-0.250205,-0.0988726,-0.136447,0.149544,0.305807,-0.240923,0.0122797,-0.0555506,0.347808,0.0929604,0.0829886,-0.126031,0.037069,0.0590512,-0.148761,-0.190416,0.0700431,-0.266265,0.428487,0.0870686,0.0108051,0.00101642,-0.173327
P40186,-0.0392785,-0.155871,-0.0538055,-0.0879387,0.100704,0.190994,-0.161443,0.00155495,-0.0179837,0.231171,0.0740104,0.0547584,-0.0983152,0.0394184,0.0429712,-0.0981694,-0.096881,0.0364255,-0.166073,0.246634,0.0739083,0.00291049,-0.0167511,-0.105428
P54784,-0.0831731,-0.463206,-0.190757,-0.242354,0.275466,0.615886,-0.502504,-0.0197755,-0.077009,0.663177,0.179139,0.15119,-0.277453,0.0650692,0.0901523,-0.287071,-0.34955,0.150676,-0.546844,0.8319,0.177856,0.0681702,-0.0022827,-0.311498
Q03761,-0.0541312,-0.29513,-0.117166,-0.173714,0.170244,0.411097,-0.303334,0.00579482,-0.0626693,0.384741,0.13074,0.0940958,-0.169431,0.0519809,0.0612395,-0.191799,-0.204175,0.105266,-0.34109,0.49408,0.112395,0.0423625,0.0111002,-0.212726
P40070,-0.0518153,-0.296528,-0.133559,-0.169103,0.191218,0.432916,-0.343036,-0.000421825,-0.0455004,0.45815,0.122512,0.0844773,-0.160833,0.0261474,0.0497335,-0.20993,-0.229467,0.0961166,-0.384478,0.546073,0.106256,0.0593392,-0.0130354,-0.199219
P20053,-0.0617981,-0.237945,-0.104568,-0.110729,0.146196,0.319464,-0.257029,-0.0215417,-0.0496639,0.304457,0.113307,0.062018,-0.131976,0.0315624,0.037121,-0.136831,-0.161184,0.0933531,-0.281231,0.409134,0.0820317,0.0396778,0.00126161,-0.166382
P53207,-0.0386634,-0.177228,-0.0843525,-0.123686,0.107933,0.285937,-0.203791,-0.00488008,-0.0299351,0.252171,0.0646798,0.0656492,-0.117718,0.022592,0.014528,-0.101985,-0.133069,0.0440553,-0.227252,0.326973,0.0634832,0.0180907,0.00198775,-0.108976
P53599,-0.0600232,-0.170567,-0.0774177,-0.119438,0.109984,0.236571,-0.214808,-0.0106967,-0.0247525,0.256324,0.0936344,0.0643809,-0.112262,0.0375436,0.0495392,-0.123086,-0.11297,0.0563894,-0.216586,0.342196,0.0559684,0.0167151,0.0186973,-0.110855
Q02159,-0.0271066,-0.147733,-0.0867695,-0.0816588,0.0843054,0.209776,-0.175974,-0.00100562,-0.0123903,0.234439,0.0875039,0.0712598,-0.113697,0.016584,0.0186797,-0.105874,-0.102761,0.0634232,-0.198707,0.286455,0.0686405,0.0359869,-0.0106906,-0.128003
Q08109,-0.0375197,-0.187804,-0.0945665,-0.0995808,0.137119,0.274728,-0.217715,0.0115811,-0.0505519,0.312341,0.0911778,0.0568445,-0.106703,0.00871436,0.0180882,-0.113038,-0.131165,0.0657954,-0.262434,0.385843,0.0812456,0.0267855,0.0187871,-0.144894
P38879,-0.0214824,-0.170239,-0.0700016,-0.0902472,0.0922796,0.275702,-0.223987,-0.00709858,-0.0527232,0.288478,0.0910809,0.0783399,-0.124446,0.0263897,0.0193426,-0.122243,-0.132795,0.0663403,-0.207265,0.364464,0.0702464,0.0244434,0.00420654,-0.115558
P38688,-0.0277901,-0.158129,-0.0698845,-0.0971638,0.0868415,0.237483,-0.18759,-0.020105,-0.0316174,0.250087,0.082547,0.0579284,-0.0998085,0.0228183,0.0226896,-0.116443,-0.136243,0.0695686,-0.185902,0.29086,0.0788894,0.0382757,-0.0162155,-0.109146
