protein,dim1,dim2
P04801,0.221237,0.515603
P38009,0.434055,0.708089
P38886,1.11447,1.27826
P32332,0.348605,0.549966
P20134,0.473415,0.544688
P40150,0.70006,1.07488
P06777,0.706124,0.567721
P35181,0.541312,0.526597
P38226,0.253965,0.594189
P11484,1.46394,1.85562
P36069,0.258492,0.305132
P38620,0.370476,0.39569
P38590,0.37252,0.382062
P15019,0.204907,0.405599
P33297,1.0444,1.24762
P32900,0.332045,0.322085
Q06146,0.236845,0.516542
P13586,0.496789,0.676468
P32629,0.648391,0.418238
P40961,0.653947,0.560603
P06778,0.578924,0.590141
Q04195,0.643467,0.821682
Q02785,0.774437,0.531618
Q03016,0.346084,0.463462
P25644,1.37447,1.53872
Q12460,0.49572,0.843506
P38120,0.195403,0.531771
P42847,0.443855,0.518828
Q03246,0.55509,0.542192
Q03102,0.282077,0.506712
P53337,0.723108,0.788438
P07172,0.334953,0.338498
P43565,0.24605,0.797934
P38075,0.21562,0.441599
P42946,0.527693,0.358727
P32361,0.788471,1.14914
P00958,0.276137,0.452078
P43588,1.29115,1.8825
P28708,0.407938,0.772242
Q02326,0.692165,0.683689
Q04373,0.57711,0.609427
Q03661,0.12642,0.567877
P23059,0.424153,0.447398
P41902,0.241071,0.548185
P34760,0.546385,0.626772
P01119,0.481218,0.231847
Q12440,0.558972,0.483296
P25453,0.483142,0.505992
P08153,0.379401,0.539262
P47049,0.356989,0.38703
P38349,0.366739,0.5192
Q03497,0.712219,1.12382
Q02864,0.0746802,0.308088
Q06822,0.158865,0.292334
P53687,0.0294446,0.395915
Q05506,0.181771,0.45103
Q12119,0.0464461,0.422485
Q08271,0.266477,0.785262
P53224,0.436803,0.571283
P22211,0.7428,0.837094
P04802,0.324122,0.403656
Q12185,0.330593,0.313584
P40185,0.410735,0.703908
Q12127,0.0894664,0.392266
Q02795,0.964285,0.930838
P53389,0.419136,0.200833
Q03940,0.63931,0.783797
P35189,0.510613,0.997622
P14064,0.272542,0.487581
P21657,0.132606,0.65537
P38165,0.309214,0.879697
P87108,0.33531,0.607701
P32897,0.561001,0.896408
Q07914,0.360329,0.602644
P20676,0.705994,0.602855
P04147,0.73002,1.11823
Q02554,0.635563,0.76459
P54857,0.278226,0.409959
P53921,0.350515,0.271548
P47177,0.293577,0.189487
P47068,0.6411,0.810298
Q00362,0.554036,0.772098
Q06636,0.285485,0.240965
P04817,0.596453,0.905512
P48569,0.23847,0.209979
P50861,0.344515,0.702194
P27697,0.289089,0.546282
P39078,0.440436,0.651048
Q05080,0.652714,0.861862
P38785,0.594338,0.506791
P47179,0.0537096,0.337938
P54786,0.523998,0.665521
Q99288,0.199241,0.305418
P87262,0.497207,0.547298
P35817,0.802665,0.781583
P43639,0.357238,0.923416
Q12093,0.238312,0.309795
P40042,0.117413,0.239868
Q06704,0.344085,0.70388
P38151,0.0911091,0.552076
Q12159,0.826652,1.33745
Q06708,0.583711,0.788368
O13516,0.455138,0.561802
P49960,0.315656,0.477485
P39551,0.275775,0.565581
P53174,0.242178,0.662773
P38842,0.436543,1.10652
Q07376,0.388832,0.688194
P33335,0.448624,0.517737
P53173,0.206928,0.653985
P19516,0.216153,0.281534
P00549,0.705714,0.993143
P15705,0.680756,0.40127
Q04437,0.487754,1.06823
P24482,0.494145,0.786733
Q04322,0.300303,0.825506
Q06449,0.725723,0.8456
P39940,1.22418,1.53279
Q06168,0.422218,0.392042
P53920,0.0391471,0.463921
Q06668,0.621328,0.533179
P53226,0.359788,0.541365
P10081,0.524821,1.07923
P47127,0.356751,0.0724386
P36112,1.46812,1.94995
P04710,0.435711,0.387447
P42846,0.552647,0.833087
Q12432,0.689824,0.389713
P38283,0.478769,0.568822
P69852,0.543935,0.724456
P09620,0.671928,0.915506
P13134,0.683665,0.575647
Q08199,0.496313,0.288967
Q03790,0.484756,0.774713
Q02630,0.950397,0.91359
P35729,0.328445,0.64605
P07284,0.3694,0.672938
Q01855,0.541122,0.525834
Q04233,0.49294,0.410493
P13186,1.00841,1.00782
P36096,0.476349,0.367204
Q08232,0.480018,0.45142
P43579,0.255326,0.56994
P18888,0.361224,0.664129
Q3E7A4,0.461588,0.333778
Q12230,0.534865,1.02625
P29340,0.132921,0.365521
Q05568,0.61123,0.464407
Q04991,0.248213,0.487794
P41807,0.294541,0.649477
P26637,0.47584,0.546531
Q08109,0.291569,0.94532
P31373,0.263687,0.47648
P38992,0.517704,0.444502
P36531,0.191842,0.792521
P27692,0.702653,1.06936
P11633,0.36024,0.877071
P40568,1.06064,1.30146
P09547,0.267362,0.729302
Q00916,0.488415,1.13994
Q12033,0.27545,0.288044
Q02948,0.311193,0.568886
P22219,0.614859,0.514546
P39743,0.732061,1.35557
P41895,0.601974,0.666323
P36145,0.467885,0.604876
P08539,0.562394,0.836928
P17119,0.449643,0.675692
P47120,0.326574,0.499142
P17157,1.66734,1.96276
P46151,0.566685,0.25547
Q99332,0.692165,0.767237
P47175,0.419372,0.54635
P36162,0.261084,0.720098
Q12517,0.636202,0.431748
Q03337,0.481239,0.532265
Q03656,0.618069,0.85244
Q08641,0.377667,0.417876
P53317,0.521236,0.250757
Q12530,0.679188,1.04496
P0CX29,0.264996,0.717473
P09734,0.702717,0.693494
Q04062,0.308107,0.793199
Q06103,0.252812,0.568777
P38132,0.37419,0.690788
P11746,0.501906,1.00939
P47087,0.44794,0.384514
P36015,0.747031,0.726062
P00127,0.318302,0.519022
P32388,0.212381,0.666719
P32476,0.479653,0.58193
P42843,0.435828,0.443909
Q08273,0.672004,1.11849
P41930,0.386072,0.290568
P38169,0.0816348,0.275329
P22580,0.206588,0.345682
Q08118,0.0258617,0.297717
P39077,0.950259,0.838995
P50873,0.305923,0.385182
P38222,0.403266,0.339976
P53141,0.6425,0.876222
P08566,0.326296,0.715931
P41940,0.591634,0.929574
P40513,0.897795,0.904053
Q12085,0.396643,0.24514
P53104,0.996092,1.29695
P36134,0.312048,0.31312
P28274,0.593375,0.540825
P36516,0.659455,0.541115
Q12487,0.520011,0.451016
Q06685,0.504444,0.480329
P38074,1.07528,1.20646
P32319,0.690634,0.457527
Q08634,0.404015,0.181528
P54790,0.418669,0.77801
Q3E7B7,0.173994,0.406338
Q02724,1.16406,1.31289
P23254,0.410798,0.686994
P40566,0.358779,0.317137
P39954,0.642951,0.40324
Q96VH2,0.242016,0.0412247
P52918,0.514217,0.869387
P39994,0.227906,0.240126
P56628,0.312618,0.339853
P53756,0.464013,0.313699
P40467,0.384845,0.250254
Q06205,0.609857,0.635597
Q03532,0.669155,0.872156
P54113,0.154366,0.712693
P29311,0.544966,1.03526
P39969,0.565982,0.644114
P61829,0.379826,0.524334
P18496,0.420518,0.186521
Q08448,0.139397,0.343033
P38225,0.478869,0.773034
P00359,0.790881,1.18404
Q03695,0.247469,0.226135
P04386,0.586983,0.845938
P43557,0.41379,0.501833
P32457,0.676511,1.28594
P40073,0.812289,1.10702
P27614,0.279777,0.334284
Q04412,0.300436,0.287082
Q12743,0.277771,0.624757
P32581,0.606602,0.991461
Q04706,0.342719,0.701596
Q12123,0.405752,0.404115
P53981,0.0443708,0.452883
P53983,0.510919,0.260953
P36160,0.802852,1.31442
Q04924,0.304648,0.497218
P38879,0.47148,0.633688
P29295,1.04098,1.27615
Q3E769,0.0971395,0.591552
P53935,0.686036,0.823637
Q99395,0.484929,0.0992278
P38276,0.363657,0.473577
P22336,0.547493,0.962375
Q08960,0.193002,0.323402
P02829,1.17051,1.77514
P51534,0.136176,0.513326
P09119,0.437187,0.664715
Q04110,0.248246,0.542938
P25566,0.226174,0.342041
P19262,0.486731,0.526441
P32524,0.719287,0.529761
P19736,0.449223,0.810082
Q03048,0.540462,0.790327
P60010,0.809711,1.03762
P40450,0.428007,0.904786
Q04216,0.305816,0.125027
Q06644,0.333663,0.682186
P47130,0.28636,0.561
Q12049,0.422742,0.274938
P36136,0.122093,0.399903
P40075,0.748593,0.878175
Q06624,0.254289,0.530658
P16521,0.833866,0.753219
Q12043,0.273541,0.543568
Q03406,0.597673,0.524281
Q02792,0.523962,0.471411
P25368,0.537496,0.588951
P10664,0.481913,0.943468
Q12287,0.314564,0.461108
P46654,0.473637,0.407139
P48360,0.454174,0.309014
P25655,0.448116,0.813347
Q02642,0.415445,0.624899
P47093,0.891878,0.944646
P32839,0.193294,0.290228
P08067,0.498232,0.794542
P04037,0.474988,0.706795
P39997,-0.0175241,0.471102
P40364,0.330682,0.600671
Q07471,0.54582,0.74613
P46949,0.199519,0.50927
P53061,0.290334,0.463539
P25301,0.219759,0.472006
P08432,0.501584,0.267337
P23900,0.404921,0.431615
Q02821,0.988411,1.36899
P53633,0.732731,0.505019
P16474,0.766265,1.07734
P06634,0.939755,0.996444
P35191,0.387457,0.547808
P32335,0.387077,0.664818
P00420,0.519138,0.671896
P53691,0.554163,0.491923
P53323,0.484653,0.704132
P53978,0.222172,0.698426
P47088,0.324385,0.286604
P39547,0.658176,1.18329
P25596,0.223658,0.174095
P53739,0.466859,0.638303
P53165,0.561941,0.850655
Q02875,0.319899,0.451293
P24783,0.687614,0.554687
P05319,0.378694,0.717745
Q03761,0.48043,0.933393
Q03792,0.160424,0.385619
P21242,0.329748,0.772638
P26448,0.632307,0.558258
Q12466,0.297717,0.480113
P38070,0.432848,0.42859
P09440,0.510208,0.616856
P38011,0.45473,0.701784
Q03434,0.176372,0.231003
P14126,0.857773,0.845603
P49095,0.415557,0.138034
P53265,0.388863,0.320434
P50084,0.259953,0.214714
P53866,0.168946,0.360131
P47005,0.117873,0.228128
Q92325,0.397292,0.637702
P47050,0.369427,0.485141
Q01329,0.451213,0.780594
P45976,0.592391,0.652217
P05694,0.281775,0.516166
P36103,0.502472,0.586777
P17883,0.518851,0.555229
P39102,0.311731,0.364428
P38721,0.0788571,0.162139
P38221,0.368837,0.188611
P38063,0.128592,0.394973
P32895,0.440843,0.720746
P40061,0.493315,1.01063
P40210,0.53171,0.555448
P33894,0.179372,0.384121
Q06137,0.469726,0.703757
Q12083,0.357922,0.326618
P38920,0.578538,0.590749
Q02486,0.374296,0.515545
P21182,0.515334,0.422403
P13663,0.147391,0.549597
P53124,0.542852,0.687066
Q05809,0.395669,0.177664
P47114,0.332316,0.141138
P14682,0.725296,0.758662
P38352,0.338206,0.534838
P09232,0.473812,0.550536
P38326,0.278051,0.502502
P35208,0.522098,0.399077
P35209,0.273601,0.406371
P26309,0.443501,0.826306
P25390,0.748336,0.610751
Q04969,0.151955,0.59585
P19145,0.544541,0.804863
P05030,0.706029,0.694981
P36054,0.23488,0.68264
P07834,0.496691,0.756033
Q08957,0.0382194,0.127729
P38289,0.457246,0.391047
P54787,0.283831,0.370319
Q12502,0.172848,0.157692
Q12366,0.540439,0.676972
Q08981,0.251711,0.365379
Q3E7Z1,0.12785,0.360926
P53252,0.651671,0.854969
P28737,0.317786,0.519471
O60200,0.36068,0.613179
Q3E7B2,0.525799,0.483118
P32375,0.0352198,0.33023
P47017,1.09422,1.47099
P26785,0.451708,0.956862
P39552,0.474719,0.339801
P53322,0.623149,0.99895
P33309,0.229685,0.537678
P33296,0.289153,0.664247
P25574,0.292025,0.757735
Q06159,0.188502,0.592096
Q99316,0.246528,0.816608
P53915,0.259805,0.184477
P46675,0.545309,0.449697
Q06551,0.46636,0.576545
P43132,0.541299,0.483597
P38827,0.391041,0.621998
P38931,0.455488,0.769909
P40356,0.793395,0.588591
Q06213,0.229682,0.611639
P47146,0.402252,0.473271
P33749,0.466064,0.514408
P12630,0.0386378,0.290864
Q3E840,0.430962,0.600931
P38771,0.0934967,0.504827
P39983,0.253007,0.198798
Q12510,1.11362,1.33724
P14065,0.162157,0.427918
P31111,0.554941,0.474797
P32909,0.410048,0.564144
Q01560,0.456203,0.889894
P53552,0.569156,0.541002
Q00772,0.810837,0.916898
P51862,0.223748,0.70828
P07263,0.350276,0.292696
P38080,0.624742,1.09564
Q07622,0.13116,0.602218
P41818,0.275206,0.264386
P33329,0.374548,0.372672
P07280,0.348201,0.435319
P36146,0.612911,0.746965
P23639,0.439345,0.733964
Q02199,0.342353,0.679992
P39685,0.441762,0.66072
Q3E7C1,0.247045,0.681432
P40005,0.351924,0.532373
P14907,0.579036,0.760211
P36523,0.372821,0.39995
P38232,0.332799,0.418336
P31116,0.240385,0.254073
P32450,0.418786,0.239837
P32342,0.149402,0.493876
Q07551,0.394841,0.193918
P32911,0.671562,0.767448
P40217,0.437758,0.661052
P36123,0.491708,0.172845
P40532,-0.0123017,0.166953
P47026,0.517427,0.519937
P22082,0.752503,0.627353
P19880,0.666694,0.776085
Q08416,0.337061,0.196745
P34761,1.76239,2.06388
P53753,0.343061,0.345812
P32381,0.441877,0.885302
P47117,0.574632,0.410607
Q08208,0.784184,0.732096
Q99234,0.331888,0.458427
P47185,0.28101,0.161292
P40850,0.57658,0.761235
P23301,0.546482,0.790749
P23291,1.30181,1.59269
P25345,0.401595,0.435593
P33891,0.312777,0.78117
P06102,0.724938,0.755595
Q12449,0.476365,0.637533
Q06820,0.324684,0.649236
Q07655,0.520279,0.195719
P22133,0.410427,0.517545
P23776,0.197652,0.399805
P0CX60,0.14752,0.357698
P02294,0.8125,0.966555
Q06490,0.512565,0.375431
P38719,0.406269,0.565503
Q08972,0.408452,0.633301
P33759,0.462452,0.7112
Q02608,0.740015,0.521653
Q06493,0.745719,0.760961
Q12379,0.547094,0.71403
P53068,0.557418,0.694019
Q12157,0.550697,0.514944
P33306,0.299543,0.396752
P40456,0.352693,0.547087
P0CF36,0.191573,0.107535
P53248,0.381495,0.873389
P53584,0.263991,0.658159
P53214,0.124855,0.561024
P39726,0.109399,0.292871
P40478,0.146501,0.648215
P25344,0.871087,0.81868
P40460,0.601202,1.06136
P0CY07,0.380932,0.413081
P32790,0.865236,1.32368
Q01766,0.245506,0.362248
P38355,0.469771,0.17843
Q03655,0.649775,0.712377
P0CX90,0.40065,0.0619608
P53738,0.760665,0.733029
P32353,0.334509,0.497047
P09032,0.3599,0.741463
Q99325,0.262211,0.281245
P46680,0.35798,0.428335
P39540,0.650977,0.574882
P38819,0.349606,0.637691
P32803,0.667291,0.831655
P38111,0.286808,0.821533
P53843,0.611389,0.522619
P39929,0.648916,0.849448
Q99303,0.402344,0.337366
P25384,0.225593,0.420442
Q12513,0.357889,0.342076
P25502,0.561308,0.51703
P24309,0.207043,0.238959
Q12008,0.37834,0.36452
P40327,0.42829,0.367248
P14724,0.306886,0.395755
P47138,0.3132,0.598007
P11792,0.509201,0.666929
P28263,0.230634,0.529948
P42884,-0.0272392,0.326583
P15992,0.428037,0.660481
Q05541,0.780763,0.634943
Q12749,0.395021,0.354487
P36022,0.696231,0.803276
P33122,1.00306,0.98055
Q12365,0.410215,0.538565
P40002,0.407583,0.214199
P47025,0.63938,0.70447
Q04673,0.272295,0.634207
P19659,0.760552,0.772307
P32785,0.00492771,0.477193
P00546,1.16353,1.82055
P40028,0.454853,0.27741
P43633,0.236127,0.499823
P38629,0.597359,0.71943
P43605,0.340746,0.542006
P40339,0.560226,0.674557
P48568,0.380426,0.358526
P11972,0.406492,0.77413
Q07791,0.403445,0.419583
P40219,0.197713,0.624466
P53153,0.083184,0.268108
Q3E767,0.379194,0.0771683
P25625,0.368416,0.352557
P23060,0.194839,0.416415
P25605,0.274197,0.660372
P07342,0.452732,0.682284
P38709,0.41933,0.376254
P04387,0.53314,1.03434
P47822,0.532593,0.673243
P0C0W1,0.642992,0.812172
P0CX37,0.486742,0.6343
P53304,0.386746,0.120149
P38892,0.163551,0.435566
Q99315,0.119619,0.217856
P0CX36,0.823803,0.563446
P40053,0.296752,0.235776
P32565,0.5514,0.611533
P41544,0.360068,0.792601
P07213,0.530898,0.809459
P32191,0.0991124,0.565976
P47158,0.607205,0.475852
P32622,0.516714,0.437052
Q06109,0.613013,0.597551
P25808,1.15711,1.41766
P05750,0.801942,0.734778
P39734,0.497006,0.898206
P36085,0.157966,0.38619
P22579,0.707455,0.797622
P0CX84,0.219228,0.671544
P07269,0.715887,0.978408
P43561,0.543668,0.714478
Q00776,0.398043,0.625799
P43562,0.330731,0.648181
P38729,0.738509,1.01262
Q08980,0.671087,0.677765
P36005,0.428236,0.720337
P13574,0.664416,0.62029
P32337,0.712426,0.862321
Q12464,0.651219,1.08372
P53088,0.381727,0.423466
P53923,0.480263,0.364666
P38820,0.319434,0.638274
P25375,0.126565,0.412977
P21965,1.02738,1.30726
P00498,0.0358571,0.551352
P0CX85,0.271105,0.787026
P43542,0.381389,0.724744
Q03002,0.982275,0.861487
P40021,0.113598,0.348681
P35732,0.669128,0.404418
Q06706,0.524112,0.510569
P47153,0.0849333,0.298318
Q12753,0.216532,0.595395
Q04660,0.542249,1.01903
P38815,0.230444,0.627438
P53093,0.5479,0.769298
P53108,0.519856,0.178773
P40975,0.349968,0.652837
Q08729,0.496466,0.243322
P40480,0.595208,0.327129
P50111,0.296527,0.670059
P53079,0.41678,0.367435
Q01590,0.833448,0.716627
P25560,0.268701,0.481238
P03874,0.0900052,0.226486
P31384,0.457323,0.765466
P27825,0.409847,0.238192
P32486,0.65483,0.558653
P0C155,0.391497,0.231422
P36062,0.123237,0.719823
P0CX28,0.297393,0.780603
P05744,0.438317,0.50063
P32328,0.351111,0.363087
P33399,0.536478,0.478428
Q04175,0.383592,0.654199
P53131,0.562383,1.098
P36119,0.416032,0.400696
P53327,0.348534,0.395558
P00924,0.549464,0.515514
Q04162,0.0813182,0.32751
Q12469,0.692875,0.938866
P38930,0.466847,0.685074
P39521,0.312608,0.403176
P53254,0.558547,0.849256
P32479,0.239618,0.357605
P42944,0.676198,0.648227
Q12181,0.570227,0.52269
P33327,0.508753,0.449278
P21957,0.408989,0.597715
P40505,0.275801,0.738489
P53012,0.28097,0.214043
Q02888,0.234644,0.237545
Q03713,0.656025,0.552291
Q04089,0.505472,0.40686
P40060,0.154035,0.647383
Q01163,0.480989,0.666628
P53733,0.351946,0.575787
Q02950,0.382907,0.822664
P53072,0.38723,0.417225
P07170,0.583261,0.475572
P09950,0.437593,0.346669
P33336,0.429803,0.417642
P53047,0.293892,0.190214
P38634,0.56117,0.681663
P31539,0.518849,0.822628
P23202,0.459507,0.838206
P38960,0.34946,0.609161
Q12132,0.239268,0.330284
Q06705,0.329612,0.425095
Q03718,0.492539,0.595776
Q12151,0.29967,0.432148
P26793,0.393013,0.620262
P47180,0.0506666,0.139749
Q99299,0.355224,0.409506
P39714,0.471375,0.331707
Q08965,0.636442,0.807668
Q06632,0.385912,0.717069
Q12275,0.233678,0.388756
Q06512,0.604327,0.639057
P40994,0.350844,0.513386
Q02206,0.241873,0.319759
P53236,0.52818,0.605506
P08466,0.433724,0.546174
P54784,0.960356,1.379
Q08193,0.365205,0.498094
P35169,0.687006,1.17913
Q12038,0.39338,0.667052
P53955,0.239438,0.471343
P23287,0.565521,0.601156
P47029,0.65741,0.696716
P32893,0.471524,0.52413
P17065,0.605949,0.82516
P32915,0.371777,0.807256
P15624,0.256832,0.458692
Q03373,0.48835,0.661525
Q03063,0.67535,0.723813
P39531,0.138215,0.557636
P24276,0.437843,0.828736
P40024,0.415875,0.701896
P53235,0.243523,0.642854
P43546,0.0887798,0.139287
P20052,0.313462,0.547368
P43560,0.151458,0.233876
P25342,0.344476,0.638027
P38770,0.165386,0.503913
P53062,0.402078,0.341047
P25611,0.682941,0.907756
P16550,0.144273,0.455654
P53952,0.198104,0.367661
Q03957,0.638057,0.553872
Q01939,0.691026,0.915731
Q12320,0.251132,0.487246
P53958,0.269346,0.340584
P54858,0.431953,0.442082
Q06593,0.36499,0.272524
Q12009,0.375252,0.223708
P38779,0.44693,0.899285
P38862,0.297245,0.643617
P40081,0.200216,0.483937
P38883,0.453966,0.709751
P0CX45,0.444852,0.945947
P38803,0.332943,0.215747
Q06489,0.204809,0.445448
Q05515,0.277595,0.683106
P38129,0.896604,0.976236
P40510,0.0795941,0.546325
P39952,0.431312,0.693892
Q03787,0.139397,0.242475
Q08172,0.327105,0.271662
Q01454,0.343705,0.63258
P38788,0.521867,0.960302
P07286,0.289297,0.486434
P53718,0.294641,0.755641
P09959,0.752311,0.650393
P04911,0.665626,1.00897
P38764,1.09218,1.34689
P00950,0.380854,0.702536
P05066,0.171204,0.458143
P33203,0.918439,1.44918
Q05900,0.261315,0.453546
P36155,0.256126,0.201499
P27637,0.52464,1.11256
P38126,0.442795,0.374849
P32944,0.949199,1.26852
Q12509,0.459531,0.619364
P40472,0.120496,0.382964
P33757,0.356495,0.493482
O13297,0.149869,0.575236
P04050,0.840133,1.12815
P08518,0.734041,0.856352
Q03941,0.179363,0.286592
Q05937,0.251334,0.42141
P33315,0.242394,0.179053
Q04199,0.38384,0.751198
P40029,0.549122,0.226129
P27895,0.409986,0.585867
P24583,0.586676,0.990769
P13099,0.160334,0.526897
Q03834,0.414633,0.729241
P25638,0.220995,0.514993
P38768,0.342474,0.511078
Q08932,0.514399,0.453262
P0CX55,0.548971,0.388307
P0CX46,0.535422,0.546246
P0CX31,0.512812,0.552904
P40896,0.215149,0.507474
P22204,1.00553,0.918865
P41811,0.93169,1.05797
P39995,0.41758,0.181636
P38439,0.236881,0.59489
P32558,0.61258,1.04581
P34160,0.559486,0.778363
P32604,0.46318,0.121583
P41056,0.494423,0.344814
P23248,0.655495,0.553506
Q06224,0.260499,0.536808
P40099,0.11986,0.489989
Q03785,0.795294,1.11846
P23493,0.301611,0.793202
P15731,0.573138,0.758561
P40072,0.429128,0.558394
P39015,0.949248,0.926677
P38130,0.158055,0.504145
P25364,0.409805,0.394667
P47142,0.395369,0.506082
Q06696,0.242247,0.597241
