gene,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127,dim128
P87231,-0.0278402,-0.00213584,-0.0163471,-0.00579852,-0.0104334,-0.0188603,-0.0605927,0.0207801,0.00839317,-0.037173,0.000995943,-0.0153757,-0.0688109,0.0194621,-0.00586771,0.0297161,0.0875362,-0.0477397,0.0999473,0.025416,0.0155231,0.0551894,0.0135769,-0.00686593,-0.0144205,-0.0299629,0.0768619,0.0412943,0.0153383,0.0339977,0.0758005,-0.0134342,0.0439979,0.0131366,0.0592044,0.0680075,-0.0517283,-0.0428203,0.0427849,-0.110245,-0.0392193,0.105019,0.0109925,-0.00498963,0.0536053,0.0078333,0.0312537,0.0122,-0.0353688,-0.0534185,-0.0448951,-0.107652,0.017155,-0.0537575,0.00105672,-0.0220948,-2.94841e-05,-0.00473431,-0.033222,-0.0449088,-0.0389407,-0.0269867,0.0599425,0.0588609,-0.0195882,0.0544435,0.0630279,0.116396,0.0113001,-0.0512834,0.0708153,0.0995419,-0.0458706,0.101029,0.00120574,0.0493702,-0.0112846,0.0452405,0.0177062,0.0416634,-0.00625797,-0.0352317,0.0311022,0.0695422,0.149786,0.0153428,-0.064261,-0.0160436,0.0569867,0.0307935,-0.0147816,-0.059037,0.0121097,-0.0586705,0.0510639,0.0506277,0.0519755,0.059727,-0.0546014,-0.128379,-0.0609973,-0.0127847,-0.00226458,0.00334056,0.0537833,0.0222251,-0.0118814,-0.0266918,-0.092436,0.0314642,-0.0747265,0.00834832,0.00377835,-0.0155375,0.0218669,-0.0571132,-0.093628,0.104221,0.049655,-0.075882,-0.0244265,0.0611906,-0.0732029,0.0777296,-0.00447216,-0.00277805,-0.00162609,-0.0303026
O14285,-0.00918182,-0.00248349,-0.0106513,-0.00464275,-0.0010626,-0.00690091,-0.0237247,0.00559005,0.00219553,-0.0122902,0.00278775,-0.00773946,-0.0287582,0.00912028,-0.00107115,0.0151108,0.031687,-0.0201357,0.0385119,0.00650728,0.00608444,0.016119,0.00195711,-0.00501603,-0.00497729,-0.0120196,0.0283581,0.0190155,0.00349295,0.0125524,0.0263115,-0.00483845,0.0175477,0.00623162,0.0229453,0.0224264,-0.0213874,-0.014957,0.011699,-0.0401581,-0.0106869,0.0397268,0.00317598,-0.00459387,0.0205523,0.00175264,0.0142718,0.00894148,-0.0111146,-0.0194609,-0.0132513,-0.0407329,0.00411653,-0.0175176,0.00161202,-0.0119279,-6.25528e-05,-0.00291856,-0.00925615,-0.014757,-0.01301,-0.00757363,0.0198292,0.0179229,-0.00784278,0.0151407,0.0250535,0.0408328,0.0041048,-0.0189307,0.0225475,0.0367315,-0.0196909,0.0379657,-0.00433929,0.0147814,-0.00635111,0.019886,0.00393245,0.0155331,-0.00341246,-0.01136,0.00750677,0.027582,0.0545652,0.00904181,-0.019187,-0.00783147,0.0231639,0.0118191,-0.00249155,-0.0242563,0.00431436,-0.0167962,0.016379,0.0175537,0.0192012,0.0243196,-0.0187662,-0.0487867,-0.0234952,-0.00535076,0.00395757,-0.000168874,0.0197882,0.00588786,-0.00430914,-0.0129014,-0.0355596,0.0121843,-0.0271736,0.000785807,-0.00195461,-0.00249516,0.002842,-0.0192604,-0.0325306,0.0359183,0.017,-0.029816,-0.00854319,0.0245736,-0.0269152,0.0307251,0.00069529,0.00258235,0.00243687,-0.0127685
O13728,-0.017383,-0.00133539,-0.0143455,-0.00460922,-0.0100678,-0.011255,-0.0359514,0.00882403,-0.000223767,-0.0255289,0.00365837,-0.0046259,-0.0531998,0.0127952,-0.00548928,0.022288,0.0563883,-0.0351029,0.0739672,0.0192159,0.0113027,0.0365454,0.0127564,-0.00797082,-0.00828988,-0.0212352,0.0535323,0.0274963,0.00591747,0.0222959,0.052953,-0.0155087,0.0266327,0.00985522,0.0435358,0.0463745,-0.0401377,-0.0316278,0.0261268,-0.0749554,-0.0226412,0.076689,0.00240289,-0.00392471,0.0358313,0.00360159,0.0210131,0.0120487,-0.0241322,-0.0386354,-0.0296104,-0.0778006,0.0146461,-0.0385794,0.00149083,-0.0202709,-0.00198248,0.000756611,-0.0232832,-0.0335831,-0.0232407,-0.0204009,0.0410842,0.0376197,-0.0169819,0.0360243,0.0456732,0.0818282,0.00321957,-0.0377588,0.0457718,0.0687495,-0.0361945,0.0732714,-0.00455853,0.0368094,-0.00543875,0.0312361,0.0147149,0.0270496,-0.00955167,-0.0191344,0.0179135,0.0474578,0.104787,0.0136256,-0.0488819,-0.00847648,0.0444245,0.0215989,-0.00848317,-0.0453048,0.00600933,-0.0434223,0.0325332,0.0382104,0.0333667,0.0444672,-0.0389376,-0.090393,-0.0421186,-0.00922652,0.000999822,-9.85063e-05,0.0391609,0.0210162,-0.00763369,-0.0178139,-0.0656612,0.0247688,-0.0514576,0.00803684,0.000557774,-0.0153362,0.00934121,-0.0374318,-0.0666655,0.0791039,0.0376041,-0.0498635,-0.0141659,0.044401,-0.0560481,0.0560235,-0.00519715,-0.00475096,-0.00635732,-0.0168711
Q09822,-0.0434831,-6.74427e-05,-0.0284208,-0.00608256,-0.0152328,-0.0347167,-0.0980403,0.0272197,0.0120186,-0.0607333,-0.000149617,-0.0225319,-0.121398,0.0402154,-0.0113752,0.0565683,0.143445,-0.087495,0.179189,0.0416628,0.0276367,0.0941419,0.0207374,-0.0155519,-0.0257658,-0.0444254,0.135584,0.0692839,0.0256982,0.0592193,0.136825,-0.0307351,0.0693977,0.0188465,0.103595,0.114834,-0.0898953,-0.0691662,0.064266,-0.184695,-0.0580286,0.183559,0.0173439,-0.0142238,0.0910516,0.0125868,0.0544465,0.0233525,-0.0551593,-0.0952757,-0.0736385,-0.186632,0.0335375,-0.0930959,-0.00271932,-0.0468348,-0.00828837,-0.00552062,-0.0591202,-0.0742245,-0.0651168,-0.0402276,0.104202,0.10477,-0.0304592,0.08963,0.111118,0.197963,0.0169285,-0.0800096,0.117903,0.174116,-0.0793265,0.176366,-0.00675333,0.0870905,-0.0183562,0.0777813,0.0321818,0.0643524,-0.0179341,-0.0518531,0.046255,0.118155,0.254973,0.0233433,-0.10988,-0.0331822,0.101449,0.0557632,-0.021026,-0.104905,0.0152744,-0.100192,0.0847694,0.0822447,0.0864104,0.105894,-0.0911886,-0.21223,-0.113014,-0.0293313,-0.00339333,0.00757387,0.087571,0.0414759,-0.0181923,-0.0408338,-0.165671,0.0553884,-0.126138,0.0130005,0.00550842,-0.0271687,0.0363102,-0.0941552,-0.15696,0.179613,0.0845957,-0.128758,-0.0356683,0.0980389,-0.127942,0.137987,-0.0100216,-2.59416e-05,-0.00611746,-0.0446657
Q10199,-0.0199776,0.000691436,-0.0101244,-0.0053115,-0.00642953,-0.0160445,-0.0393867,0.00944352,0.00624657,-0.0294442,-0.00336481,-0.00765384,-0.0558,0.0150314,-0.00270739,0.0261618,0.0650136,-0.0386272,0.0811143,0.0221315,0.015616,0.0425635,0.0117757,-0.00766971,-0.0118822,-0.0182024,0.0544615,0.0351802,0.0122539,0.0260853,0.0552219,-0.0105915,0.031195,0.00762801,0.044272,0.045831,-0.0408835,-0.0306357,0.0264515,-0.084452,-0.0297719,0.078296,0.00299819,-0.00870236,0.0396198,0.00530859,0.02723,0.0130815,-0.0258385,-0.0412901,-0.0344123,-0.0766236,0.0125285,-0.0417394,0.00252318,-0.015957,0.00162547,-0.00261095,-0.0279957,-0.0334428,-0.027767,-0.0181992,0.0464897,0.0466974,-0.0137219,0.0370474,0.0445595,0.0833632,0.010125,-0.0347518,0.053802,0.0768665,-0.0375947,0.0742609,0.00108836,0.0371764,-0.00450823,0.0369344,0.0123567,0.0286779,-0.0112638,-0.0263367,0.0199468,0.0482241,0.110285,0.00922309,-0.0460553,-0.0168483,0.0461864,0.0256293,-0.00976356,-0.0477578,0.0111243,-0.0440433,0.0362915,0.0343052,0.0336193,0.0440987,-0.0421669,-0.0953101,-0.0490858,-0.0150983,-0.00202904,0.00641745,0.0351056,0.0202838,-0.00537398,-0.0158548,-0.0726356,0.0249999,-0.0557551,0.00869008,0.00641885,-0.0111073,0.0160933,-0.0418217,-0.0694159,0.0767435,0.0360673,-0.0548168,-0.0160534,0.0443671,-0.0556764,0.0618965,-0.00697296,0.00250638,-0.00381609,-0.0173071
O60129,-0.00698501,0.00100128,-0.00622012,-0.00014754,-0.00716971,-0.0121988,-0.0272656,0.00735929,0.000791156,-0.0146295,0.00115917,-0.0042613,-0.0268609,0.00881474,0.00135313,0.0119154,0.0373665,-0.0207753,0.0433013,0.0130688,0.0107595,0.0257315,0.0060967,-0.00792468,-0.00180336,-0.0120578,0.0292205,0.0158901,0.00688608,0.0111681,0.0312175,-0.00730347,0.0203065,0.00715567,0.0258559,0.0303141,-0.0173459,-0.0203334,0.0167247,-0.0443022,-0.0179164,0.0457373,0.00439972,-0.00634294,0.0232784,0.00133641,0.0146513,0.0062486,-0.0151068,-0.0190571,-0.013755,-0.0445869,0.00760777,-0.0209658,0.000752226,-0.00881772,-0.00425179,-0.00466866,-0.0120736,-0.0146205,-0.0154497,-0.010387,0.02618,0.0203899,-0.00644617,0.0227646,0.0287386,0.0437769,0.00190363,-0.0203611,0.0304849,0.0411815,-0.0155732,0.040314,-0.00301676,0.0182189,-0.00018232,0.0182044,0.00924031,0.0143662,-0.00585857,-0.0144666,0.00774099,0.0263444,0.0567697,0.00854423,-0.023851,-0.0104965,0.0269843,0.010057,-0.00783208,-0.0241563,0.000627643,-0.0265966,0.020499,0.0164904,0.0165138,0.0252161,-0.0259954,-0.0485888,-0.022618,-0.00732013,-0.00184411,0.000828267,0.0212027,0.0105196,-0.00050863,-0.0140298,-0.0359454,0.0148736,-0.0269429,0.000858468,0.00381652,-0.00471816,0.0095039,-0.0222541,-0.0378216,0.0400783,0.0174092,-0.0301258,-0.0104284,0.0210092,-0.0338045,0.0310339,-0.00502406,-0.000927961,0.00261055,-0.0103667
O74761,-0.0236265,0.00107966,-0.0176268,-0.00146214,-0.00828821,-0.0152962,-0.0460916,0.0146391,0.00222229,-0.0314365,0.00118205,-0.0132234,-0.0579983,0.0200786,-0.00137929,0.0236928,0.0732322,-0.0406153,0.0867645,0.0215404,0.0170564,0.0442897,0.0150253,-0.00769195,-0.010687,-0.0235893,0.0659455,0.0346004,0.0129055,0.0259354,0.0648412,-0.0170703,0.0328764,0.013396,0.0473093,0.0590756,-0.0436631,-0.0351705,0.0298476,-0.0926479,-0.0324526,0.0896835,0.00965727,-0.00596968,0.0432185,0.00931137,0.0266165,0.0107865,-0.0305041,-0.0435759,-0.0351578,-0.0925284,0.0140884,-0.0425837,-0.00446009,-0.0197663,-0.00197604,-0.00436933,-0.0304567,-0.0395661,-0.0360324,-0.0228049,0.0541072,0.0508257,-0.0119202,0.0423195,0.0555982,0.0960592,0.00724289,-0.0444506,0.0625854,0.0864255,-0.0440071,0.0871181,-0.00159968,0.0418704,-0.00692987,0.0365132,0.01228,0.033332,-0.00655125,-0.0246555,0.0196829,0.0576773,0.119648,0.0151185,-0.057688,-0.0184073,0.0458997,0.0308238,-0.00897248,-0.0511596,0.0106086,-0.0446018,0.0367983,0.0452825,0.0401465,0.0472951,-0.0481459,-0.105726,-0.0572673,-0.00954639,0.00112594,0.00367263,0.0397024,0.0223893,-0.0116335,-0.0183335,-0.0830558,0.0247163,-0.0613659,0.00693429,0.00555446,-0.0180309,0.0150336,-0.0448561,-0.0777408,0.0861986,0.0390715,-0.0588078,-0.0186413,0.0511957,-0.0603408,0.0636748,-0.00539305,-0.00133152,0.00120432,-0.0202171
P78955,-0.0149852,-0.00136109,-0.00710313,-0.0063997,-0.00199906,-0.00886259,-0.027625,0.0107696,-0.00129787,-0.0165364,0.00232279,-0.00425749,-0.0368441,0.00955753,-0.00187699,0.0171499,0.0390336,-0.0237543,0.0480343,0.0143512,0.0111481,0.0302666,0.00448003,-0.00249855,-0.00314402,-0.0140017,0.0414408,0.0235118,0.00292109,0.0142802,0.0374963,-0.00728683,0.0174784,0.00543537,0.031384,0.0329937,-0.0283596,-0.0195238,0.0225311,-0.0556252,-0.0172212,0.0545188,0.00663042,-0.000531549,0.0259877,0.00295599,0.0191627,0.00555696,-0.0175173,-0.0242669,-0.0192205,-0.0547916,0.00635819,-0.0243504,-0.00409849,-0.0114379,0.00229092,-0.00306891,-0.0143381,-0.0200327,-0.0216857,-0.00945419,0.0333751,0.0326224,-0.00761547,0.0225382,0.0284529,0.0596026,0.00556887,-0.0206338,0.0351234,0.0515714,-0.0239604,0.0498421,-0.00216409,0.0229725,-0.00190784,0.0194937,0.00976339,0.019229,-0.0073995,-0.0189603,0.0144983,0.0371874,0.0743901,0.00753895,-0.0340649,-0.0127398,0.0265254,0.0177211,-0.00232529,-0.0262198,0.00392526,-0.0289981,0.020854,0.0272357,0.0243454,0.0288917,-0.0302499,-0.0636833,-0.0353379,-0.0105528,-0.00301564,0.00476446,0.0250769,0.0153942,-0.00491243,-0.010277,-0.0500539,0.0175541,-0.0369178,0.00727663,0.0062844,-0.00921537,0.00934958,-0.0247263,-0.0431556,0.0551401,0.0235318,-0.0382345,-0.0109188,0.0317488,-0.0383724,0.0357594,-0.00661678,-0.00297401,-8.95017e-05,-0.0149124
P87154,-0.0129842,-0.00277517,-0.0117738,-0.000644474,-0.00775068,-0.0129346,-0.0343064,0.0124845,0.00556657,-0.0227319,0.000182757,-0.00435783,-0.0423149,0.0152517,-0.00276009,0.0206448,0.0529098,-0.0315965,0.0632319,0.0128699,0.0115043,0.0369053,0.0112376,-0.00820033,-0.0113632,-0.0131905,0.0450873,0.0253876,0.00731143,0.0179602,0.0459599,-0.0138484,0.0261344,0.0101247,0.0381076,0.0369558,-0.0351399,-0.0218802,0.022421,-0.0637551,-0.0225077,0.0592954,0.00162461,-0.00334852,0.02877,0.00371478,0.0187453,0.0109127,-0.0225381,-0.0327054,-0.0287531,-0.0629658,0.00759959,-0.0320216,0.000610211,-0.0142968,-0.00189305,0.00114692,-0.0203599,-0.0306698,-0.02371,-0.0187373,0.0383215,0.0390732,-0.0128864,0.0302627,0.0393206,0.0713355,0.00707631,-0.0275396,0.0430327,0.0649133,-0.0296708,0.0572487,-0.00133348,0.0328011,-0.00477794,0.0263913,0.0113697,0.0210727,-0.0036367,-0.0159986,0.0158726,0.0381677,0.0870569,0.00830661,-0.0379637,-0.00994872,0.0333376,0.0212204,-0.00334085,-0.0336018,0.00848099,-0.0311812,0.0307926,0.0319939,0.030347,0.0353551,-0.030382,-0.0736766,-0.0358232,-0.0106564,-0.00215345,0.000105126,0.0297201,0.0159916,-0.00287412,-0.0143818,-0.057468,0.0173181,-0.0459084,0.00605259,-0.000177832,-0.0131921,0.0110201,-0.0369376,-0.0561225,0.0649287,0.0311969,-0.0458249,-0.0117413,0.033944,-0.0491179,0.0491253,-0.00591464,-0.00260261,-0.0029375,-0.016499
O94374,-0.0176575,-0.00540861,-0.0112346,-0.00815793,-0.00972785,-0.0162067,-0.0429298,0.00846697,0.00507045,-0.0272554,-0.00248617,-0.00420579,-0.0490137,0.0137178,-0.00844906,0.0210429,0.0575182,-0.0380343,0.0757381,0.018275,0.0100109,0.0363605,0.0134658,-0.00420342,-0.00573482,-0.0153126,0.055205,0.0268941,0.0134406,0.0191188,0.0587726,-0.0114247,0.0255793,0.00765447,0.0446299,0.0470541,-0.0331242,-0.0305044,0.0250462,-0.076517,-0.0260309,0.0725371,0.00890252,-0.00266039,0.0389398,0.000916691,0.0219659,0.012706,-0.0231847,-0.0366198,-0.0287338,-0.0729954,0.0132597,-0.0337696,-0.000354448,-0.0207855,0.000384734,-0.0042493,-0.0269127,-0.0362619,-0.0272452,-0.0148115,0.0457531,0.0414499,-0.0133374,0.0348628,0.0471436,0.0783893,0.0087668,-0.0341774,0.0533416,0.0714141,-0.0314727,0.0745692,-0.00581254,0.0384815,-0.00520032,0.0301494,0.00899441,0.0303566,-0.010269,-0.0255932,0.0168264,0.0484615,0.105966,0.0140757,-0.042876,-0.0143357,0.0394063,0.0258052,-0.00737854,-0.0420135,0.00400633,-0.0433248,0.032717,0.0330446,0.03419,0.0455347,-0.0372121,-0.0864821,-0.0445471,-0.00736038,0.000567122,-0.00203925,0.036229,0.0168482,-0.00994989,-0.0206207,-0.0659886,0.0187198,-0.0481881,0.00719541,0.00742685,-0.00904701,0.0168837,-0.0433181,-0.0627126,0.0718492,0.0370563,-0.0535237,-0.0132791,0.0436297,-0.0562749,0.059206,-0.00134845,-0.00446594,-0.00348874,-0.0202997
O14063,-0.0172226,-0.00329154,-0.0106586,-0.0031303,-0.0104513,-0.011065,-0.029676,0.0115352,0.00231795,-0.0231216,-0.00236383,-0.00790311,-0.0377037,0.0143483,-0.0036308,0.0143082,0.0510867,-0.0323716,0.0566857,0.0103485,0.00778405,0.0295866,0.011127,-0.00901943,-0.00609095,-0.0174606,0.0470315,0.0261972,0.00975268,0.0188229,0.0460788,-0.0108723,0.0195188,0.0102761,0.0365301,0.0360545,-0.0281851,-0.0195203,0.0252009,-0.0579581,-0.0216969,0.0562275,0.00336723,-0.00793054,0.0347264,0.000539438,0.0222208,0.00446959,-0.01843,-0.0340139,-0.0246685,-0.0618819,0.012372,-0.031031,0.00148468,-0.0105481,-0.00200071,-0.00367556,-0.0198717,-0.0289771,-0.0232634,-0.0165044,0.0334625,0.0317677,-0.0133153,0.0263625,0.0338736,0.0684127,0.00700919,-0.0270209,0.0406764,0.0559779,-0.0272348,0.0607072,-0.00474319,0.0303508,-0.00638368,0.0229677,0.00894379,0.0264811,-0.00700847,-0.0154148,0.0188311,0.0397452,0.0866105,0.00970229,-0.0394421,-0.00914681,0.0311533,0.0189765,-0.00762681,-0.0296633,0.00489813,-0.0297038,0.0258814,0.0252376,0.026921,0.038064,-0.0280728,-0.0734176,-0.0358396,-0.0112331,0.000865109,0.00025987,0.032185,0.0180944,-0.00449732,-0.013363,-0.0503692,0.0192676,-0.0387421,0.00299926,0.00527173,-0.0124684,0.00711407,-0.0318606,-0.0501334,0.0596089,0.0287392,-0.0402791,-0.00921737,0.0317781,-0.0422285,0.0439493,3.88263e-05,-0.00173876,-0.00386929,-0.0158857
P40376,-0.00924259,-0.00199117,-0.00540284,-0.00393051,-0.00155386,-0.00506038,-0.0205387,0.00987177,-0.00226102,-0.0124807,-0.00256348,-0.00462288,-0.029102,0.00653995,0.000264817,0.014029,0.026924,-0.0223316,0.0375381,0.0100456,0.00568767,0.0208237,0.00571582,0.000474166,-0.00885714,-0.0108522,0.0281481,0.0154488,0.00332963,0.0131214,0.0272503,-0.00388099,0.01334,0.00551512,0.0183807,0.0267639,-0.0229773,-0.0115525,0.0119236,-0.0416833,-0.0136019,0.0389534,0.00145237,-0.00505988,0.022042,0.00541432,0.0145198,0.00725332,-0.00813935,-0.0195249,-0.0139638,-0.0424106,0.0098464,-0.0170549,-0.00350088,-0.011736,-0.0031996,-0.00369104,-0.0149066,-0.0163948,-0.0159208,-0.00804719,0.0248278,0.0246971,-0.0103985,0.0162519,0.0234835,0.0461222,0.00314479,-0.0143233,0.0236515,0.0391089,-0.0208767,0.0379781,-0.00450482,0.0146834,-0.00387357,0.0193568,0.00750553,0.0111739,-0.00560831,-0.0130851,0.00732816,0.0217692,0.0528327,0.00642024,-0.0222015,-0.00726262,0.0225075,0.00835922,-0.0060831,-0.0229608,0.004698,-0.0176515,0.0178103,0.0185166,0.0146604,0.0256054,-0.0192652,-0.0479928,-0.0245993,-0.00660051,-0.000896486,-0.000208167,0.0162733,0.00560315,-0.00323128,-0.00904153,-0.0332313,0.00951463,-0.0217815,0.00133205,0.0018712,-0.00317211,0.0103306,-0.0217328,-0.0301518,0.0429206,0.0164709,-0.0284833,-0.0122514,0.0224799,-0.0315537,0.0289275,-0.00419474,0.00289266,0.00168525,-0.0106671
Q09892,-0.0254551,-0.00622962,-0.024678,-0.00857186,-0.0108371,-0.0220116,-0.0603484,0.0233879,0.00216949,-0.0433001,-0.00326444,-0.00908671,-0.0794536,0.0219701,-0.0103611,0.0393202,0.095953,-0.0569033,0.119669,0.0302066,0.0183638,0.0652919,0.0112576,-0.0128636,-0.0154794,-0.0326575,0.0869998,0.0510421,0.0103746,0.0326323,0.0912345,-0.0153854,0.0481024,0.0119791,0.0695053,0.0724485,-0.0616803,-0.0440152,0.0470574,-0.117418,-0.040743,0.114312,0.0121263,-0.004966,0.0626962,0.0128695,0.0395228,0.0161011,-0.0380246,-0.0614765,-0.0478486,-0.117845,0.0224658,-0.059681,0.000579025,-0.0317201,-0.0069673,-0.00571381,-0.0376864,-0.0471276,-0.0391773,-0.0239839,0.0656015,0.0682253,-0.0234657,0.0548328,0.0738959,0.127911,0.011541,-0.0582692,0.0804899,0.116853,-0.0571217,0.116625,-0.00505663,0.0558679,-0.0138902,0.0533459,0.0177408,0.045178,-0.00816896,-0.0344313,0.0291129,0.0797651,0.164881,0.0182238,-0.0692587,-0.0192359,0.0649643,0.0381225,-0.0145079,-0.0689391,0.0110599,-0.0654119,0.0568369,0.056628,0.0528104,0.0690238,-0.0585557,-0.142817,-0.0759022,-0.0173718,0.00307528,0.00827534,0.0540777,0.0274577,-0.0106541,-0.0280762,-0.108607,0.0356192,-0.07564,0.00762467,0.00130512,-0.0201569,0.0216896,-0.0648818,-0.0968362,0.118295,0.0505768,-0.0793071,-0.0295768,0.0690794,-0.0813506,0.0883827,-0.00971513,-0.00437931,-0.00705572,-0.030086
O14019,-0.0144187,-0.00437951,-0.00701365,-0.00178083,-0.00640478,-0.0104694,-0.029931,0.0091344,0.00424382,-0.019977,0.0031924,-0.00794321,-0.0363694,0.0133543,-0.00476304,0.0155394,0.0420522,-0.022562,0.0518518,0.0157474,0.00878071,0.0302584,0.0103282,-0.00825942,-0.00948951,-0.0151,0.0407489,0.0229544,0.00750071,0.0178094,0.0383952,-0.00586143,0.0221847,0.00371904,0.0301484,0.034037,-0.0272453,-0.0209889,0.0211077,-0.0565074,-0.0141526,0.055745,0.00811073,-0.00175391,0.0276756,0.00457098,0.017825,0.0100676,-0.015897,-0.0271198,-0.0183958,-0.0506581,0.0102679,-0.0271697,-0.00386051,-0.0113651,-0.00452214,-0.00260318,-0.020244,-0.0194954,-0.0206738,-0.0118937,0.0326961,0.0306339,-0.00934316,0.0275225,0.0287933,0.0552625,0.00797815,-0.0274118,0.0348646,0.0508491,-0.0240954,0.054066,0.000919939,0.0241481,-0.00301366,0.0253875,0.00647917,0.0159769,-0.0048327,-0.0154197,0.0162886,0.0315175,0.07604,0.00769073,-0.0335646,-0.0132518,0.0281866,0.0146993,-0.00703584,-0.0256413,0.00584974,-0.0255128,0.0221716,0.0255132,0.0206562,0.0309254,-0.0300441,-0.0609284,-0.0307462,-0.0101417,-0.00117506,0.00485631,0.0213778,0.00853479,-0.00650694,-0.0121829,-0.0488068,0.0171136,-0.0347535,0.00453741,0.00268045,-0.0122027,0.0138876,-0.0291574,-0.0406686,0.0555073,0.020175,-0.0351807,-0.00885128,0.029199,-0.0377279,0.0394522,-0.00624845,-0.00314269,0.000930776,-0.0150385
O94468,-0.0143523,-0.00472353,-0.0161763,-0.00581272,-0.00965894,-0.0161293,-0.0335326,0.0113358,0.001879,-0.0236994,0.00205925,-0.0108116,-0.0469113,0.0148095,-0.00393897,0.0177772,0.0521881,-0.0348269,0.0648481,0.013451,0.0115017,0.0334079,0.00885756,-0.00931578,-0.00894444,-0.0199826,0.0521368,0.0300025,0.00978211,0.0242011,0.054465,-0.00818513,0.029143,0.00580877,0.0419806,0.0449203,-0.0320194,-0.0230699,0.0218255,-0.0695638,-0.0204227,0.0711372,0.00278985,-0.00422425,0.0347665,0.00342069,0.0257474,0.00568505,-0.018376,-0.0356454,-0.027554,-0.0675864,0.0142376,-0.0312038,-0.00281916,-0.0175283,-0.00328635,-0.00594829,-0.0250634,-0.0327878,-0.023974,-0.0166214,0.0383567,0.0397442,-0.0106544,0.0307053,0.0442947,0.070674,0.00544204,-0.0338832,0.0470926,0.0635659,-0.0333938,0.0689963,-0.00372781,0.0332377,-0.00804201,0.0327041,0.00820814,0.0236715,-0.00890253,-0.0182162,0.014942,0.04403,0.0990301,0.011703,-0.039871,-0.010845,0.0348226,0.021241,-0.00615544,-0.0388638,0.00940055,-0.0386663,0.0289534,0.0356616,0.0351492,0.0417259,-0.0379267,-0.0820206,-0.0387654,-0.0109906,0.00405728,-0.00175902,0.0314685,0.0165568,-0.00297879,-0.020154,-0.0656769,0.0159513,-0.0493039,0.00331822,0.000424875,-0.012712,0.0138665,-0.0378698,-0.057903,0.0720393,0.0302696,-0.044248,-0.0166953,0.0382091,-0.0451474,0.0512312,-0.00312893,-0.000939238,-0.00512597,-0.0157905
Q10445,-0.0238363,-0.00151597,-0.0177205,-0.0104629,-0.0159619,-0.0210414,-0.0647241,0.0147048,0.00665503,-0.0411866,0.000978945,-0.0117954,-0.080411,0.0193225,-0.00401187,0.0378491,0.0917813,-0.0563614,0.109901,0.0233754,0.0228663,0.0596147,0.0117105,-0.00993518,-0.0154829,-0.0279048,0.0849349,0.0445221,0.012741,0.0342559,0.0860095,-0.0163553,0.040953,0.0121418,0.0694445,0.0677777,-0.0554002,-0.0459979,0.0461531,-0.11687,-0.034747,0.111699,0.00529087,-0.00873642,0.0555963,0.0101781,0.0377351,0.0152588,-0.0361012,-0.0591889,-0.0461076,-0.119021,0.0198798,-0.0600653,-0.000883373,-0.0274207,-0.00214612,-0.00516981,-0.0352178,-0.0468826,-0.0456806,-0.0244325,0.065901,0.0677973,-0.0156403,0.0539255,0.0663265,0.127748,0.011541,-0.0527834,0.0735942,0.114037,-0.0555169,0.107606,-0.00466046,0.0511714,-0.00877269,0.0503831,0.0165572,0.0400598,-0.00691015,-0.0376214,0.0318241,0.077725,0.160002,0.0160355,-0.0735014,-0.023524,0.0643043,0.0324297,-0.0120593,-0.060005,0.00986725,-0.0645481,0.0523927,0.0506955,0.0505736,0.0655679,-0.056675,-0.134583,-0.0694394,-0.0203819,0.00253348,0.00673587,0.0579047,0.026693,-0.00707823,-0.0280401,-0.10759,0.0337981,-0.0755313,0.0047916,0.00860317,-0.0228323,0.019857,-0.0645413,-0.0992803,0.113702,0.0493203,-0.0761299,-0.0243628,0.0633756,-0.0838018,0.0898941,-0.00486477,-0.00148727,-0.00682726,-0.0261415
