gene,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24
Q10342,0.359284,0.102619,0.14733,-0.0224921,0.0258142,0.169625,0.0292746,-0.113943,-0.0613095,0.0948473,-0.0321868,-0.0404491,0.109941,0.122113,0.0731729,0.114695,-0.0397489,0.0819909,-0.184211,0.0918151,-0.106727,-0.164178,0.288876,-0.0443443
P53313,0.384262,0.102356,0.167111,-0.0490329,0.0442595,0.19538,0.0421458,-0.121999,-0.0709522,0.108483,-0.0516052,-0.0464228,0.137873,0.133147,0.0958399,0.092176,-0.0395936,0.0657672,-0.206222,0.112042,-0.114291,-0.17269,0.299691,-0.029674
Q9US06,0.335399,0.0985553,0.153971,-0.0575774,0.0200951,0.151924,0.0275724,-0.084361,-0.0353801,0.0766135,-0.0514786,-0.0522111,0.107722,0.133314,0.0696342,0.0850158,-0.0348765,0.0478739,-0.186319,0.105033,-0.0981371,-0.126228,0.272622,-0.0381724
P38351,0.335473,0.106642,0.163163,-0.0546083,0.0238936,0.194343,0.0393377,-0.122732,-0.0776885,0.0874367,-0.0321339,-0.0750885,0.119835,0.118472,0.0809493,0.084726,-0.0215411,0.041609,-0.162773,0.0728653,-0.0859965,-0.137218,0.286504,-0.0505665
P26321,0.324434,0.0898829,0.142156,-0.0294474,0.0587885,0.170835,0.0139617,-0.0754135,-0.0593395,0.0873963,-0.0277245,-0.0637527,0.112422,0.0976234,0.0624773,0.0921614,-0.0283702,0.0625301,-0.169336,0.0645594,-0.076743,-0.151743,0.271575,-0.0384421
O74306,0.343688,0.0731606,0.139464,-0.0446881,0.0459984,0.189834,0.0172168,-0.0974716,-0.0508737,0.102431,-0.0440607,-0.0508811,0.1135,0.133183,0.0577737,0.111559,-0.037713,0.0541223,-0.198281,0.0945911,-0.121255,-0.158801,0.257035,-0.0448593
Q03940,0.30673,0.0583194,0.127951,-0.0149557,0.0483897,0.16159,0.0114263,-0.0924788,-0.0365966,0.0793965,-0.0341507,-0.0613012,0.0854884,0.124346,0.0694805,0.100442,-0.00380726,0.0560384,-0.166631,0.0953531,-0.0928463,-0.110679,0.236336,-0.0321138
Q9C0X6,0.319244,0.0851695,0.120949,-0.0353207,0.0258943,0.141748,0.00822366,-0.0955826,-0.0635515,0.082984,-0.0450492,-0.0674057,0.104747,0.121771,0.065846,0.0971981,-0.0252084,0.0586658,-0.162722,0.0614756,-0.10583,-0.123761,0.258131,-0.023469
O94582,0.332959,0.0734964,0.1556,-0.0526893,0.0642828,0.202139,0.0222437,-0.109445,-0.0738397,0.0768125,-0.0304594,-0.0729837,0.126409,0.146267,0.0799319,0.1131,-0.0058038,0.0751837,-0.208565,0.084256,-0.0851435,-0.131377,0.273248,-0.044782
P00899,0.344762,0.0766279,0.165458,-0.0174742,0.0359769,0.173713,0.0460726,-0.0997348,-0.0714443,0.0720433,-0.0622824,-0.0415735,0.100014,0.143222,0.0700955,0.095823,-0.00369624,0.0473662,-0.161888,0.108323,-0.0991053,-0.154282,0.284032,-0.0512774
P13045,0.31902,0.0838836,0.130897,-0.0438027,0.0399397,0.144131,0.0416771,-0.0859328,-0.06032,0.0818923,-0.0492121,-0.0358673,0.104328,0.127588,0.0452215,0.0640063,-0.0382166,0.0355929,-0.172331,0.079977,-0.0956339,-0.0984889,0.255215,-0.0489696
Q9HDU2,0.357534,0.0807323,0.135648,-0.0480575,0.0561653,0.165125,0.0113159,-0.116571,-0.0683781,0.103233,-0.0469229,-0.0441252,0.0915699,0.116116,0.0856554,0.0987437,-0.00452035,0.0388148,-0.183344,0.0910641,-0.0997442,-0.120475,0.284695,-0.0231161
P32501,0.357719,0.0786367,0.143531,-0.032633,0.0662582,0.207314,0.0416424,-0.102753,-0.0771699,0.112597,-0.0499455,-0.0727193,0.117701,0.155381,0.0549489,0.0872327,-0.000992709,0.0841218,-0.18545,0.109444,-0.117007,-0.142063,0.274874,-0.0227395
P56287,0.367509,0.0919477,0.180674,-0.0539573,0.0366423,0.187005,0.0411827,-0.108729,-0.0696024,0.0833807,-0.0737668,-0.076071,0.104269,0.135925,0.0795552,0.0895282,-0.0203716,0.0531233,-0.184674,0.0948221,-0.124316,-0.156604,0.312894,-0.0394952
P28829,0.347586,0.0718727,0.136192,-0.0206087,0.0402705,0.19153,0.0200831,-0.102781,-0.0700496,0.0907982,-0.0361162,-0.0527872,0.113796,0.11787,0.0682452,0.108675,-0.036924,0.0795957,-0.182433,0.0997188,-0.0965184,-0.151466,0.245257,-0.0248785
P23561,0.361733,0.0810245,0.169135,-0.0247247,0.0458919,0.177715,0.0284124,-0.116203,-0.0647374,0.0923882,-0.0614436,-0.0555949,0.120463,0.134855,0.0664719,0.117787,-0.0138501,0.0497292,-0.168451,0.105788,-0.120076,-0.161203,0.286455,-0.0435885
P50514,0.279202,0.0693519,0.125748,-0.0135896,0.0200636,0.130444,0.0432282,-0.0654598,-0.0686849,0.093207,-0.0466157,-0.031508,0.0768571,0.0888238,0.0634195,0.069373,-0.0292181,0.0642667,-0.167222,0.0770871,-0.112748,-0.13439,0.250342,-0.0162585
P04076,0.302278,0.0576852,0.135695,-0.0522731,0.0446094,0.150554,0.0369603,-0.0962955,-0.0741907,0.0798307,-0.0367526,-0.0493049,0.0966046,0.112286,0.0674701,0.0620913,-0.0238678,0.0502116,-0.156507,0.0719238,-0.105274,-0.10352,0.2225,-0.042506
O59731,0.331946,0.0695083,0.131154,-0.0551882,0.0535949,0.173543,0.00853841,-0.10969,-0.0503085,0.0616925,-0.0405076,-0.0619943,0.112017,0.130842,0.0754068,0.10049,-0.0174366,0.0759089,-0.164154,0.101458,-0.0919545,-0.108924,0.230623,-0.0184737
P40564,0.349817,0.0624338,0.157967,-0.0185874,0.0617205,0.186679,0.0373019,-0.112044,-0.0454091,0.093601,-0.0322996,-0.0531695,0.103134,0.124065,0.065598,0.103705,-0.0170597,0.0366489,-0.170209,0.0712129,-0.104303,-0.149286,0.245195,-0.0350247
Q06696,0.32997,0.0598026,0.117236,-0.052927,0.0237356,0.185516,0.0107775,-0.111918,-0.0597131,0.0891322,-0.0370802,-0.0490045,0.0938048,0.118744,0.0633846,0.0799367,-0.00517873,0.0537629,-0.172291,0.0699683,-0.0874699,-0.148491,0.25074,-0.0392984
O43038,0.32337,0.0836818,0.147289,-0.0361978,0.0435771,0.17867,0.0227394,-0.0916388,-0.0620833,0.0992008,-0.0583898,-0.0684472,0.0876884,0.131555,0.0479498,0.10935,-0.00201079,0.067845,-0.179288,0.0837584,-0.108899,-0.117664,0.28282,-0.0207079
P47077,0.319854,0.0654651,0.113263,-0.0407288,0.0393108,0.185138,0.035858,-0.0993699,-0.0412879,0.0879343,-0.0613418,-0.0386445,0.0849699,0.137107,0.0726966,0.0938813,-0.00517888,0.0477998,-0.184616,0.0915926,-0.11313,-0.134126,0.239978,-0.0422376
Q92347,0.334717,0.0767319,0.156563,-0.0265508,0.0479236,0.203506,0.0405001,-0.0849947,-0.0769645,0.0838655,-0.0687148,-0.0556726,0.11666,0.144272,0.0783956,0.0958296,-0.0193954,0.0415805,-0.198112,0.0933182,-0.106072,-0.147469,0.269919,-0.0538893
O59823,0.314684,0.0601279,0.115713,-0.0297723,0.0344876,0.151785,0.0451536,-0.0772565,-0.0669844,0.0949265,-0.0286036,-0.0408272,0.11063,0.0967688,0.0445704,0.072663,-0.00534427,0.0588838,-0.178279,0.0957842,-0.0751742,-0.109047,0.217082,-0.0327323
P32610,0.314307,0.0620018,0.145126,-0.0380197,0.0350604,0.145502,0.0405068,-0.10258,-0.0702543,0.0980279,-0.0495343,-0.0627723,0.0874149,0.110929,0.0549262,0.0926986,-0.0407004,0.0439535,-0.155142,0.0752759,-0.096138,-0.129976,0.220647,-0.0156023
Q9Y8G3,0.29225,0.0650893,0.1207,-0.0537911,0.0492658,0.168442,0.0418246,-0.0913106,-0.057306,0.0783284,-0.0568623,-0.0516021,0.0894445,0.0964793,0.0538443,0.0809766,-0.0260034,0.0611099,-0.179929,0.0885142,-0.091964,-0.138018,0.242385,-0.0468006
Q99257,0.298759,0.0794043,0.142431,-0.0535684,0.0477955,0.168553,0.0446144,-0.106984,-0.0558922,0.0629916,-0.0368474,-0.0301415,0.105202,0.126715,0.0606426,0.0793894,-0.023153,0.0578958,-0.170725,0.0880993,-0.0820098,-0.119632,0.251099,-0.0175586
Q12339,0.29661,0.0652936,0.138825,-0.0186603,0.0480853,0.175254,0.0305276,-0.0844777,-0.0612525,0.0632534,-0.0306466,-0.0623568,0.0857667,0.120745,0.0770496,0.107042,-0.0177508,0.0358788,-0.183621,0.0631514,-0.0857845,-0.127565,0.241989,-0.0489996
O74862,0.336087,0.0658393,0.140629,-0.0355751,0.0541051,0.144636,0.0471218,-0.0950119,-0.0671779,0.0606471,-0.0456063,-0.0726739,0.0788378,0.0965026,0.05397,0.08366,-0.0347936,0.0489139,-0.174779,0.0768228,-0.079549,-0.144732,0.26161,-0.0495587
O42699,0.306991,0.0606269,0.147871,-0.0360571,0.060015,0.146821,0.0215381,-0.085395,-0.0725345,0.0842482,-0.0232188,-0.0412064,0.0841273,0.133292,0.0713721,0.0921944,-0.00827962,0.0598054,-0.182417,0.0872875,-0.103803,-0.14871,0.260302,-0.041261
P0CX83,0.324208,0.0915254,0.155025,-0.047351,0.0359331,0.17805,0.0389001,-0.108521,-0.0534692,0.0970852,-0.0664858,-0.0693419,0.0974898,0.126234,0.0853227,0.0811768,-0.0306544,0.0786298,-0.154693,0.0982971,-0.0970122,-0.154704,0.259371,-0.0511528
P19146,0.284299,0.0727693,0.123502,-0.0232146,0.0320972,0.137331,0.0155336,-0.0830111,-0.0694606,0.0872204,-0.0425952,-0.0271087,0.0797172,0.0991344,0.0804226,0.100207,0.000800956,0.0733068,-0.162336,0.0853151,-0.0669204,-0.102249,0.231669,-0.0239691
P36579,0.279128,0.0682078,0.118536,-0.0476485,0.0291658,0.17164,0.0353714,-0.0835526,-0.0718644,0.0908779,-0.0539952,-0.0371818,0.0986084,0.1171,0.057555,0.0898666,-0.0415283,0.0362051,-0.158368,0.0593334,-0.0926279,-0.119679,0.22505,-0.0299396
P33734,0.313784,0.0915587,0.125782,-0.0276699,0.0235186,0.153226,0.0297991,-0.0951627,-0.042364,0.087143,-0.0602716,-0.0566452,0.11933,0.133695,0.0818774,0.108292,-0.00375291,0.0645439,-0.1684,0.0884954,-0.0794447,-0.122209,0.24279,-0.0164601
O94303,0.340664,0.0967802,0.129352,-0.0296905,0.0600002,0.192886,0.0493226,-0.0980229,-0.0779547,0.0665695,-0.0330038,-0.0786293,0.0961872,0.134483,0.0772703,0.0749836,-0.0241852,0.0726854,-0.162185,0.104037,-0.111742,-0.118598,0.271919,-0.0364704
O59824,0.316325,0.0750211,0.121984,-0.0379768,0.0400567,0.151671,0.0238995,-0.0789386,-0.0369496,0.0639221,-0.0468085,-0.0584709,0.0915496,0.109933,0.0660504,0.0684662,-0.000626221,0.047078,-0.174004,0.101795,-0.104427,-0.141807,0.251958,-0.01129
P32795,0.328472,0.085587,0.155001,-0.057547,0.042142,0.177301,0.0196926,-0.088279,-0.072499,0.0745156,-0.0525095,-0.0450948,0.107604,0.126684,0.0721946,0.109442,-0.0216011,0.0499157,-0.19813,0.0966415,-0.11091,-0.123891,0.261588,-0.0204639
P42951,0.289134,0.0793987,0.129206,-0.0522824,0.0229998,0.14893,0.0264857,-0.0617191,-0.0687938,0.077515,-0.0427317,-0.0465486,0.0983661,0.0877683,0.0771865,0.0921438,-0.018024,0.0610539,-0.157794,0.0968951,-0.102786,-0.136462,0.240927,-0.0264945
Q9UT42,0.322792,0.0693239,0.149695,-0.0590554,0.0276005,0.141896,0.049434,-0.0786765,-0.0672576,0.081398,-0.0351376,-0.0743526,0.116782,0.098198,0.0718499,0.0888619,-0.0146698,0.0756296,-0.149777,0.0941615,-0.111986,-0.122137,0.259859,-0.0343868
P09202,0.34657,0.0694936,0.127962,-0.0377781,0.0475348,0.168759,0.0241014,-0.111129,-0.0757482,0.0983684,-0.0423718,-0.063503,0.102599,0.123798,0.0832407,0.082795,0.00315679,0.0531704,-0.188253,0.114081,-0.0793111,-0.127488,0.248929,-0.0168994
P09201,0.356283,0.0913844,0.134168,-0.0508553,0.0648234,0.163969,0.0515174,-0.0924052,-0.0545752,0.0998326,-0.0496231,-0.0465541,0.12526,0.149914,0.0698642,0.10091,0.00154239,0.0714052,-0.18957,0.113648,-0.108813,-0.157649,0.261415,-0.0153294
P00958,0.314445,0.0788381,0.116264,-0.042758,0.0557662,0.168609,0.0488161,-0.0989928,-0.0682646,0.0945485,-0.042532,-0.051285,0.0888611,0.102795,0.0747938,0.0647363,-0.00487202,0.0664352,-0.151952,0.0958339,-0.0722464,-0.115568,0.254673,-0.0294466
Q9UUF2,0.343019,0.081024,0.150506,-0.0463919,0.0546546,0.183543,0.0334509,-0.103484,-0.0484175,0.0743242,-0.0447495,-0.0589444,0.0883042,0.116642,0.0825089,0.0890666,-0.0250646,0.0643239,-0.155209,0.0699517,-0.0989672,-0.126317,0.269663,-0.0446637
Q03337,0.30204,0.0546071,0.144161,-0.0330825,0.0554073,0.158668,0.0314628,-0.0877509,-0.0482383,0.059018,-0.019859,-0.0701475,0.111932,0.107611,0.0787285,0.0734869,-0.0256659,0.0337474,-0.171396,0.102235,-0.104736,-0.133752,0.212133,-0.0310064
Q9P7N9,0.311826,0.0793006,0.149115,-0.0171061,0.0366626,0.155912,0.0366786,-0.0920598,-0.0490892,0.0649064,-0.0651222,-0.0672435,0.115797,0.101411,0.0703521,0.107397,-0.0245864,0.0600522,-0.179144,0.0672692,-0.110266,-0.121689,0.264968,-0.0301996
P40988,0.283016,0.0550343,0.127022,-0.0131262,0.0393208,0.143794,0.0318505,-0.0815907,-0.0762858,0.0540664,-0.0347703,-0.0313618,0.103603,0.107112,0.0522083,0.0927923,0.000137604,0.0382535,-0.173556,0.0684931,-0.0925241,-0.099482,0.239334,-0.0169345
Q9HFE1,0.3105,0.0601266,0.129013,-0.023951,0.0324741,0.138223,0.00921727,-0.0953268,-0.0694829,0.0887494,-0.0523945,-0.0640505,0.0941102,0.112101,0.0504473,0.103373,-0.0322022,0.0511642,-0.161144,0.0658668,-0.0881706,-0.128938,0.250187,-0.0138455
O13968,0.338134,0.0674252,0.150957,-0.0373921,0.0335188,0.14979,0.0242257,-0.108153,-0.0808111,0.0768579,-0.0394498,-0.0728559,0.112403,0.135027,0.0635171,0.0758964,-0.0358155,0.0528983,-0.167241,0.078519,-0.086596,-0.155348,0.237778,-0.0208199
P27614,0.319755,0.0877889,0.159893,-0.0176815,0.0534242,0.188449,0.0266682,-0.110991,-0.0792522,0.082923,-0.0694363,-0.050246,0.0872328,0.123753,0.0727019,0.102518,-0.0398276,0.0396367,-0.192118,0.112167,-0.107992,-0.161218,0.249399,-0.0447169
O94565,0.30106,0.0812396,0.107377,-0.0174967,0.0471492,0.144703,0.0293184,-0.0996079,-0.0418284,0.0679501,-0.0516431,-0.0583602,0.0680602,0.117888,0.0613137,0.0591196,-0.0243523,0.0314085,-0.166357,0.0629764,-0.103445,-0.135885,0.239806,-0.0289472
P53966,0.324355,0.0640568,0.134341,-0.0466185,0.0542976,0.169895,0.0190826,-0.0989187,-0.0792127,0.0733093,-0.0520125,-0.0402386,0.0964935,0.12539,0.0770345,0.0763458,-0.00698121,0.0625077,-0.194359,0.0782518,-0.110814,-0.139175,0.276472,-0.0330099
O14388,0.295157,0.0826308,0.120149,-0.031285,0.0204189,0.143218,0.0346676,-0.0962736,-0.0450962,0.0605233,-0.043001,-0.0585877,0.0896685,0.0947269,0.0546504,0.0885891,0.00269279,0.0453521,-0.151035,0.0905335,-0.0958676,-0.108536,0.236778,-0.0165712
P0C2H6,0.315,0.0651819,0.121248,-0.036902,0.0542563,0.133064,0.00877791,-0.0994053,-0.0554022,0.0569519,-0.0534143,-0.0394728,0.104555,0.107382,0.069805,0.0961227,-0.0242847,0.0478124,-0.156631,0.091772,-0.081451,-0.139993,0.236179,-0.00689442
O13921,0.281817,0.086059,0.124123,-0.0379145,0.0546461,0.15167,0.0101704,-0.104682,-0.0428977,0.0724803,-0.0333135,-0.0267803,0.0896638,0.123707,0.0600692,0.0886299,-0.00641498,0.0559871,-0.149141,0.0867154,-0.104962,-0.130501,0.234297,-0.0430874
P25846,0.333342,0.0747014,0.135327,-0.0497934,0.0284652,0.169193,0.0128288,-0.0856154,-0.0421716,0.0909953,-0.0283599,-0.0548615,0.103855,0.102581,0.0711921,0.0780738,-0.0106699,0.0644088,-0.186519,0.103559,-0.123797,-0.151794,0.259444,-0.0158242
P21242,0.298215,0.0975591,0.139191,-0.0506193,0.0501911,0.174363,0.0146143,-0.0836151,-0.0574228,0.0956981,-0.0275456,-0.0532753,0.0984037,0.110951,0.0856251,0.0892353,-0.00198231,0.069765,-0.174537,0.092892,-0.0814012,-0.11681,0.232048,-0.0488499
O59770,0.324539,0.098883,0.128946,-0.0450077,0.0530085,0.174871,0.00540382,-0.0725408,-0.0804048,0.0706778,-0.0542711,-0.0482528,0.108234,0.0952231,0.0622235,0.0688374,-0.0349307,0.0539908,-0.152629,0.0729349,-0.11185,-0.139684,0.259209,-0.0251402
Q9HGM3,0.323626,0.0667937,0.132348,-0.0487067,0.0626906,0.178679,0.0264531,-0.082524,-0.051456,0.072713,-0.033472,-0.032772,0.106344,0.103387,0.0748737,0.0751515,-0.0193697,0.0371838,-0.152583,0.079345,-0.0768251,-0.116231,0.253159,-0.016313
P40341,0.3955,0.0915282,0.161856,-0.0595419,0.0779472,0.230306,0.0340787,-0.109453,-0.0583868,0.0876964,-0.0540683,-0.0696521,0.116882,0.13562,0.0786869,0.0934491,-0.0141695,0.0734782,-0.22114,0.105452,-0.104333,-0.14758,0.301959,-0.0332228
P28777,0.312438,0.0752634,0.138003,-0.0573946,0.0490944,0.153812,0.0228508,-0.110866,-0.0516937,0.0730049,-0.0571972,-0.0708391,0.0848002,0.119815,0.0788248,0.0770297,-0.00780059,0.0641617,-0.190657,0.0833163,-0.0885103,-0.132034,0.269368,-0.0169037
O74413,0.372848,0.0772607,0.140549,-0.0428528,0.0363638,0.184912,0.0340948,-0.120604,-0.0494027,0.0956869,-0.0463785,-0.0630945,0.0970179,0.155351,0.0616969,0.115416,-0.00839902,0.0467291,-0.180009,0.119792,-0.102096,-0.153139,0.285785,-0.0133814
P35196,0.300668,0.0693776,0.145139,-0.0277159,0.0275572,0.177116,0.0482785,-0.0892901,-0.0706154,0.0949209,-0.0415383,-0.0732279,0.113137,0.11367,0.0482013,0.0784085,-0.0085815,0.0596562,-0.184801,0.0810732,-0.0899384,-0.112677,0.267727,-0.0194942
O14171,0.354342,0.0685787,0.132589,-0.0435878,0.0604845,0.161244,0.0412343,-0.109532,-0.0691398,0.0906245,-0.0351408,-0.0644209,0.12757,0.122331,0.0546492,0.115468,0.00124838,0.0727276,-0.170897,0.0776813,-0.12384,-0.126554,0.279351,-0.047865
Q9C1W3,0.309377,0.0657937,0.126207,-0.0209433,0.0389891,0.178563,0.0332777,-0.0776844,-0.0624072,0.101412,-0.0220909,-0.0719433,0.109594,0.106475,0.0548103,0.0929474,-0.0150852,0.048686,-0.184309,0.0857183,-0.0986419,-0.124091,0.264591,-0.0468707
P32476,0.358812,0.0695039,0.143199,-0.051457,0.0545276,0.173925,0.0531732,-0.0882389,-0.0719351,0.097696,-0.0597548,-0.0603316,0.113042,0.144865,0.0569756,0.109668,-0.0301216,0.0654085,-0.202521,0.104228,-0.112451,-0.155071,0.276497,-0.0373511
Q09893,0.308282,0.0756162,0.120374,-0.0505322,0.0602513,0.148072,0.0238021,-0.0977293,-0.0396859,0.0566609,-0.020583,-0.0520627,0.0911863,0.117092,0.0757397,0.0681146,-0.0315934,0.0706387,-0.145781,0.0613959,-0.0712032,-0.119577,0.226982,-0.0159558
P53078,0.309651,0.0829309,0.138394,-0.0443867,0.0214963,0.140311,0.0280042,-0.0945664,-0.0646747,0.0841503,-0.0368562,-0.074544,0.0910228,0.0922734,0.0688171,0.070289,-0.0266438,0.067039,-0.181138,0.090331,-0.0759404,-0.102423,0.238236,-0.0189884
